year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
1999,Economic And Social Council,Commission On Human Rights,N/A,11,N/A,N/A,N/A,C,"IVIL AND POLITICAL RIGHTS COMMISSION ON HUMAN RIGHTS Fifty-fifth session Agenda item 11 ENGLISH Original: E/CN.4/1999/L.42 19 April 1999 Council Distr. LIMITED Economic and Social st St NATIONS E UNITED Decides to remain seized of this matter. 6. their forthcoming reports to the Commission; continue to address, as appropriate, the consequences of hostage-taking in 5. Urges all thematic special rapporteurs and working groups to strengthening international cooperation in this field; standards, to prevent, combat and punish acts of hostage-taking, including by with relevant provisions of international law and international human rights 4. Calls upon States to take all necessary measures, 1in accordance preconditions; Demands that all hostages be released immediately and without any 3. Condemns all acts of hostage-taking, anywhere in the world; 2. circumstances, unjustifiable; is an illegal act aimed at the destruction of human rights and is, under any",12/14/1973,1999_271926,Ecuador,N/A,yes
1999,Economic And Social Council,Commission On Human Rights,N/A,12,N/A,N/A,N/A,I,"NTEGRATION OF THE HUMAN RIGHTS OF WOMEN AND THE GENDER PERSPECTIVE COMMISSION ON HUMAN RIGHTS Fifty-fifth session Agenda item 12 ENGLISH Original: E/CN.4/1999/L.56 20 April 1999 Council Economic and Social Distr. LIMITED st St NATIONS E UNITED in rural or remote communities, destitute women, women in institutions or in minority groups, indigenous women, refugee women, migrant women, women living Deeply concerned that some groups of women, such as women belonging to serious violation of their human rights, of women and girls constitute a definite form of violence against them and a Reaffirming that traditional or customary practices affecting the health remedies from the State, society, and is exacerbated by the obstacles women often face in seeking status accorded to women in the family, the workplace, the community and context of de jure and de facto discrimination against women and the lower Concerned that violence against women in the family occurs within the and must be eliminated, trafficking, are incompatible with the dignity and worth of the human person, including those resulting from cultural prejudice and international gender-based violence and all forms of sexual harassment and exploitation, the World Conference on Human Rights (A/CONF.157/23) affirmed that Recalling that the Vienna Declaration and Programme of Action adopted by Platform, against women and on the other critical areas of concern identified in the conclusions adopted by the Commission on the Status of Women on violence for Action (A/CONF.177/20, chap. I) and follow-up action such as the agreed complements this process, and welcoming the Beijing Declaration and Platform Declaration on the Elimination of Violence against Women strengthens and elimination of violence against women and that the implementation of the of All Forms of Discrimination against Women will contribute to the Stressing that the implementation of the Convention on the Elimination these rights and freedoms in relation to violence against women, and expresses concern about the long-standing failure to protect and promote or nullifies the enjoyment by women of human rights and fundamental freedoms, Women, which recognizes that violence against women both violates and impairs of 20 December 1993, of the Declaration on the Elimination of Violence against Welcoming the adoption by the",N/A,1999_272027,Ecuador,N/A,yes
1999,Economic And Social Council,Commission On Human Rights,N/A,14 (a),N/A,N/A,N/A,M,"IGRANT WORKERS SPECIFIC GROUPS AND INDIVIDUALS: COMMISSION ON HUMAN RIGHTS Fifty-fifth session Agenda item 14 (a) ENGLISH Original: E/CN.4/1999/L.66 21 April 1999 Council Economic and Social Distr. LIMITED st St NATIONS E UNITED to the Convention; that some additional Member States have recently signed, ratified or acceded Workers and Members of Their Families (E/CN.4/1999/77), and welcomes the fact the International Convention on the Protection of the Rights of All Migrant Takes note of the report of the Secretary-General on the status of 3. rights; families, inter alia through the organization of training courses on human standards relating to the decent treatment of migrant workers and their their police forces and competent migration authorities comply with the basic appropriate, measures to prevent the excessive use of force and to ensure that Urges countries of destination to review and adopt, as 2. treatment against migrant workers in different parts of the world; racism, xenophobia and other forms of discrimination and inhuman and degrading",N/A,1999_272172,Ecuador,N/A,yes
1999,Economic And Social Council,Commission On Human Rights,N/A,17,N/A,N/A,N/A,P,"ROMOTION AND PROTECTION OF HUMAN RIGHTS COMMISSION ON HUMAN RIGHTS Fifty-fifth session Agenda item 17 ENGLISH Original: E/CN.4/1999/L.91 22 April 1999 Council Distr. LIMITED Economic and Social e (@) NATIONS E UNITED those facing the death penalty, not take into account the Safeguards guaranteeing protection of the rights of Concerned also that several countries, in imposing the death penalty, do Civil and Political Rights and the Convention on the Rights of the Child, disregard of the limitations provided for in the International Covenant on Deeply concerned that several countries impose the death penalty in resolution 1984/50 of 25 May 1984, penalty, set out in the annex to Economic and Social Council the Safeguards guaranteeing protection of the rights of those facing the death Referring to the report of the Special Rapporteur on extrajudicial, summary or arbitrary executions (E/CN.4/1999/39 and Add.l), with respect to penalty in their penal legislation, are applying a moratorium on executions, Welcoming the fact that many countries, while still keeping the death penalty, Commending those countries which have recently abolished the death authorized to impose, International Tribunal for Rwanda and the International Criminal Court are the International Criminal Tribunal for the Former Yugoslavia, the Welcoming the exclusion of capital punishment from the penalties that rights, enhancement of human dignity and to the progressive development of human its conviction that abolition of the death penalty contributes to the of 24 May 1990, 1990/51 of 24 July 1990 and 1996/15 of 23 July 1996, Recalling its resolution 1998/8 of 3 April 1998 in which it expressed of 25 May 1984, 1985/33 of 29 May 1985, 1989/64 of 24 May 1989, 1990/29 of 20 May 1971, 1745 (LIV) of 16 May 1973, 1930 (LVIII) of 6 May 1975, 1984/50 Recalling further Economic and Social Council resolutions 1574 (L) abolition of the death penalty, to the International Covenant on Civil and Political Rights, aiming at the opened for signature, ratification and accession the Second Optional Protocol as resolution 44/128 of 15 December 1989, in which the Assembly adopted and 20 December 1971 and 32/61 of 8 December 1977 on capital punishment, as well Recalling also",N/A,1999_272257,Ecuador,N/A,yes
1999,Economic And Social Council,Commission On Human Rights,N/A,11,N/A,N/A,N/A,C,"IVIL AND POLITICAL RIGHTS COMMISSION ON HUMAN RIGHTS Fifty-fifth session Agenda item 11 ENGLISH Original: E/CN.4/1999/L.55/Rev.1 21 April 1999 Council Economic and Social Distr. LIMITED st St NATIONS E UNITED of the Commission on Human Rights and the Sub-Commission on Prevention of United Nations High Commissioner for Human Rights and human rights mechanisms 4. Requests human rights treaty bodies, the Office of the democracy-related activities throughout the United Nations system; rights, to give priority assistance to such programmes and to promote context of the High Commissioner’s activities in the promotion of human technical cooperation to promote democracy and the rule of law, and in the Human Rights, in continuing and expanding its programmes and projects of Reguests the Office of the United Nations High Commissioner for 3. and other appropriate measures in support of democratic governance; culture through the observance of human rights, mobilization of civil society framework of international cooperation, and to build a democratic political organizations and Member States to promote and consolidate, within the the United Nations system, other intergovernmental and non-governmental Urges the continuation and expansion of activities carried out by 2. (h) The right to equal access to public service in one's own country; constitutional or other democratic means; (g9) The right of citizens to choose their governmental system through (f) The right to transparent and accountable government institutions; for all citizens to become candidates; (e) The right of political participation, including equal opportunity procedures and periodic and free elections; (d) The right of universal and equal suffrage, as well as free voting in the administration of justice and independence of the judiciary; protection of citizens' rights, interests and personal security, and fairness (c) The right to application of the rule of law, including legal ideas through any media; (b) The right to freedom to seek, receive and impart information and conscience and religion, of association and of peaceful assembly; (a) The rights to freedom of opinion and expression, of thought, includes, inter alia, the following:",N/A,1999_272440,Ecuador,N/A,yes
1999,Economic And Social Council,Commission On Human Rights,N/A,11,N/A,N/A,N/A,C,"IVIL AND POLITICAL RIGHTS COMMISSION ON HUMAN RIGHTS Fifty-fifth session Agenda item 11 ENGLISH Original: E/CN.4/1999/L.55/Rev.2 26 April 1999 Council Distr. LIMITED Economic and Social e (@) NATIONS E UNITED organizations and Member States to promote and consolidate democracy within the United Nations system, other intergovernmental and non-governmental 4. Urges the continuation and expansion of activities carried out by are also integral to democratic society; indispensable to human dignity and the full development of human potential and economic, political and social, including the right to development - are Notes that the realization of all human rights - civil, cultural, 3. (h) The right to equal access to public service in one's own country; constitutional or other democratic means; (g9) The right of citizens to choose their governmental system through (f) Transparent and accountable government institutions; for all citizens to become candidates; (e) The right of political participation, including equal opportunity procedures and periodic and free elections; (d) The right of universal and equal suffrage, as well as free voting and independence of the judiciary; interests and personal security, and fairness in the administration of Jjustice (c) The rule of law, including legal protection of citizens' rights, ideas through any media; (b) The right to freedom to seek, receive and impart information and conscience and religion, and of peaceful association and assembly; (a) The rights to freedom of opinion and expression, of thought, inter alia, the following: Also affirms that the rights of democratic governance include, 2. rights;",N/A,1999_272441,Ecuador,N/A,yes
1999,General Assembly,N/A,N/A,6,N/A,N/A,N/A,N/A,"The General Assembly , Recalling its resolution 53/111 of 9 December 1998 on transnational organized crime, Recalling also Economic and Social Council resolutions 1998/17 of 28 July 1998, on the regulation of explosives for the purpose of crime prevention and public health and safety, and 1998/18, also of 28 July 1998, on measures to regulate firecarms for the purpose of combating illicit trafficking in firearms, Taking into account the work of the Panel of Governmental Experts on Small Arms, established pursuant to General Assembly resolution 50/70 B of 12 December 1995, Activities of the Ad Hoc Committee on the Elaboration of a Convention against Transnational Organized Crime: illicit manufacturing of and trafficking in firearms, their parts and components and ammunition, as well as consideration of the need to develop an instrument on the illicit manufacturing of and trafficking in explosives The Commission on Crime Prevention and Criminal Justice recommends to the Economic and Social Council the approval of the following resolution for adoption by the General Assembly : Azerbaijan, Bolivia, Brazil, Canada, Ecuador, India, Mexico and Venezuela revised resolution Commission on Crime Prevention and Criminal Justice Eighth session Vienna, 27 April-6 May 1999 Agenda item 6 International cooperation in combating transnational crime Original: English Distr.: Limited 5 May 1999 United Nations Eienisin999/m 11/Rev.1 B ? Economic and Social Council Distr. Limited '(g 5 May 1999 LA Oriocinal: Fnolich 2 ! United Nations publication, Sales No. E.98.1V.2. 2 E/CN.15/1999/3/Add. 1. Recognizing the need for effective coordination between the Ad Hoc Committee on the Elaboration of a Convention against Transnational Organized Crime and the different United Nations bodies involved in the field of small arms, Taking note of the United Nations International Study on Firearm Regulation' and of the note by the Secretary-General on illicit manufacturing of and trafficking in explosives by criminals and the abuse and misuse of explosives for criminal purposes,’ Concerned by the increase, at the international level, in the illicit manufacturing of and trafficking in firearms, their parts and components and ammunition and by the seriousness of the problems arising from them, as well as by their links with transnational organized crime, Aware of the urgent need to prevent, combat and eradicate the illicit manufacturing of and trafficking in firearms, their parts and components and ammunition, Aware also that the manufacture of, illicit trafficking in and criminal misuse of explosives have a harmful effect on the security of States and endanger the well-being of peoples and their social and economic development, Deeply concerned that effective action against transnational organized crime is hampered by the easy access that criminals have to explosives, Convinced that combating the illicit manufacturing of and trafficking in firearms, their parts and components and ammunition, as well as combating the illicit manufacture of and trafficking in explosives, requires international cooperation, the exchange of information and other appropriate measures at the national, regional and global levels, Aware of the importance of bilateral and multilateral instruments and arrangements in the furtherance of international cooperation in the matter, including guidelines and model regulations, Underlining the need for all States, especially those States which produce, export or import arms, to take the necessary measures to prevent, curb, combat and eradicate the illicit manufacturing of and trafficking in firearms, their parts and components and ammunition, as well as explosives, Reaffirming the principles of sovereignty, non-intervention and the sovereign equality of all States and the rights and obligations enshrined in the Charter of the United Nations, 1. Welcomes the work of the Ad Hoc Committee on the Elaboration of a Convention against Transnational Organized Crime, and encourages it to continue the negotiation of an international legal instrument dealing with the illicit manufacturing of and trafficking in firearms, their parts and components and ammunition; 2. Recommends that, in negotiating the international legal instrument, the Ad Hoc Committee take into account, when appropriate and pertinent, the Inter-American Convention against the Illicit Manufacturing of and Trafficking in Firearms, Ammunition, Explosives and Other Related Materials, as well as other existing international instruments and ongoing initiatives; 3. Calls upon States to consider the adoption of such legislative or other measures as may be necessary to establish as criminal offences under their domestic law the illicit E/CN.15/1999/L.11/Rev.1 3 manufacturing of and trafficking in firearms, their parts and components and ammunition, as well as explosives; 4. Encourages States to consider forms to enhance cooperation and the exchange of data and other information with a view to preventing, curbing, combating and eradicating the illicit manufacturing of and trafficking in firearms, their parts and components and ammunition, as well as explosives; 5. Requests the Secretary-General, within existing or extrabudgetary resources, to convene an expert group with no more than twenty members with equitable geographical representation to prepare a study on the illicit manufacturing of and trafficking in explosives by criminals and their use for criminal purposes, taking fully into consideration the issues listed in paragraph 2 of Economic and Social Council resolution 1998/17; 6. Also requests the Secretary-General to facilitate the participation of experts from developing countries in the meeting of the expert group by providing, from within existing or extrabudgetary resources, for the travel of experts from such countries; 7. Invites Member States to make voluntary contributions in order to support the study to be prepared by the expert group and to ensure the participation of experts from developing countries; 8. Requests the Secretary-General to report, as early as possible, to the Commission on Crime Prevention and Criminal Justice on the results of the study and to direct the Ad Hoc Committee on the Elaboration of a Convention against Transnational Organized Crime, following the completion of the study, to consider the possible elaboration of an international instrument on the illicit manufacturing of and trafficking in explosives.",N/A,1999_273901,Ecuador,N/A,yes
1999,Security Council,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,07/28/1999,1999_279470,Ecuador,N/A,yes
1999,Security Council,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,06/25/1999,1999_279471,Ecuador,N/A,yes
1999,Security Council,N/A,N/A,19,N/A,N/A,N/A,N/A,N/A,06/25/1999,1999_279479,Ecuador,N/A,yes
