year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
2012,General Assembly,N/A,Sixty-sixth session,123 (a),Strengthening of the United Nations system,"Australia, Austria, Bosnia and Herzegovina, Brazil, Bulgaria, Canada, Chile, Croatia, Denmark, Egypt, Estonia, Finland, France, Germany, Ghana, Hungary, Iceland, Indonesia, Ireland, Israel, Italy, Japan, Liberia, Liechtenstein, Lithuania, Luxembourg, Mexico, Montenegro, Morocco, Nepal, Netherlands, New Zealand, Nigeria, Norway, Philippines, Poland, Republic of Korea, Romania, Sierra Leone, Slovenia, South Africa, Spain, Sweden, Switzerland, Timor-Leste, Tunisia, Turkey, United Kingdom of Great Britain and Northern Ireland, United States of America and Uruguay",N/A,Civilian capacity in the aftermath of conflict,"The General Assembly, Taking note of the report of the Secretary-General on peacebuilding in the immediate aftermath of conflict,! the subsequent progress report,? the report of the Secretary-General on civilian capacity in the aftermath of conflict? and the report of the Senior Advisory Group, + Welcoming the intention of the Secretary-General to develop proposals, in partnership with Member States and other relevant peacebuilding stakeholders, as outlined in the report of the Secretary-General on civilian capacity in the aftermath of conflict, Affirming the fundamental principle of national ownership, and stressing the importance of supporting national civilian capacity development and institution- building, including through peacekeeping operations in accordance with their mandates, as well as enhanced regional, South-South and triangular cooperation, Encouraging national Governments, the United Nations and regional and subregional organizations to broaden and deepen the pool of civilian expertise for peacebuilding in the immediate aftermath of conflict, including from countries with relevant experience in post-conflict peacebuilding or democratic transition, giving 1 A/63/881-S/2009/304. 2 A/64/866-S/2010/386. 3 A/66/311-S/2011/527. 4 A/65/747-S/2011/85. 12-26144 Hil 130312 CAA A particular attention to mobilizing capacities from developing countries and from women as vital for successful United Nations peacebuilding endeavours, 1. Requests the Secretary-General to continue holding regular consultations on the review of civilian capacity in the aftermath of conflict in order to maintain close collaboration with Member States, including through the Peacebuilding Commission within its mandate; 2. Also requests the Secretary-General to submit a report in 2012 on the measures outlined in his report on civilian capacity in the aftermath of conflict,® as well as on the development of further initiatives for consideration by Member States in the General Assembly and its subsidiary bodies, including, in particular, the Special Committee on Peacekeeping Operations and the Fifth Committee; 3. Further requests the Secretary-General to continue to draw on all relevant expertise, in particular that of field practitioners, in the development of initiatives to support national capacities; 4. Decides to consider developments on the review of civilian capacity in the aftermath of conflict during its sixty-seventh session, under the agenda item entitled “Strengthening of the United Nations system” and other agenda items as appropriate. 12-26144",03/12/2012,2012_722654,Philippines,N/A,yes
2012,General Assembly,N/A,Sixty-sixth session,123 (b),Strengthening of the United Nations system: central role of the United Nations system in global governance,"Argentina, Australia, Austria, Bahamas, Barbados, Belgium, Brazil, Bulgaria, Chile, Costa Rica, Croatia, Denmark, Dominican Republic, El Salvador, Finland, Germany, Greece, Guatemala, Honduras, Ireland, Italy, Kenya, Latvia, Liechtenstein, Lithuania, Luxembourg, Malaysia, Malta, Mexico, Montenegro, Morocco, New Zealand, Norway, Panama, Paraguay, Peru, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland and Uruguay",N/A,The United Nations in global governance,"Addendum Add the following countries to the list of sponsors of the resolution: Albania, Andorra, Benin, Brunei Darussalam, Colombia, Cyprus, Estonia, Guyana, Haiti, Hungary, Iceland, Iraq, Jamaica, Jordan, Monaco, Mongolia, Nepal, Philippines, Republic of Moldova, Rwanda, Samoa, San Marino, Serbia, Thailand, the former Yugoslav Republic of Macedonia, Timor-Leste, Tunisia, Ukraine and Viet Nam 12-26760 Hil 190312 CAAT A a",03/16/2012,2012_723057,Philippines,N/A,yes
2012,Commonwealth Of Independent States,Commission On Human Rights,Nineteenth session,10,Technical assistance and capacity-building,"Albania , Australia’, Austria, Azerbaijan , Bangladesh, Barbados , Benin, Bosnia and Herzegovina , Botswana, Brazil’, Burkina Faso, Cameroon, Cape Verde , Chad*, Chile, Congo, Céte d’Ivoire , Croatia , Cuba, Cyprus , Denmark’, Djibouti, Dominican Republic , Ecuador, Finland , France , Germany , Georgia , Greece , Honduras , Hungary, India, Indonesia, Ireland’, Italy, Kyrgyzstan, Lebanon’, Libya, Lithuania’ , Luxembourg’, Malaysia, Maldives, Mali 7 Malta’ » Mauritania, Matritius, Mexico, Montenegro , Morocco , Nepal , Netherlands , Nicaragua , Nigeria, Norway, Palestine*, Peru, Philippines, Poland, Portugal , Romania, Russian Federation, Saint Kitts and Nevis"", Saudi Arabia, Senegal (on behalf of the African Group), Singapore , Slovenia , Solomon Islands , Spain, Sri Lanka , Sudan’, Sweden , Switzerland, Thailand, Tunisia , Turkey , Turkmenistan , Uganda, United Kingdom of Great Britain and Northern Ireland , United States of America, Venezuela (Bolivarian Republic of), Viet Nam’, Yemen",N/A,19/... Terms of reference for the Voluntary Technical Assistance Trust,"Fund to Support the Participation of Least Developed Countries and Small Island Developing States in the work of the Human Rights Council The Human Rights Council, Recalling its resolution 16/21 of 25 March 2011 and the outcome of the review of the work and functioning of the Human Rights Council annexed thereto, and in particular paragraph 62 thereof, Recalling also General Assembly resolution 65/281 of 17 June 2011 on the review of the Human Rights Council, 1. Decides to establish the Voluntary Technical Assistance Trust Fund to Support the Participation of Least Developed Countries and Small Island Developing States in the work of the Human Rights Council; 2. Also decides that the Trust Fund will support activities designed to enhance the institutional and human capacity of Least Developed Countries and Small Island ” Non-Member State of the Human Rights Council. Please reeyele OO GE.12-12050 A/HRC/19/L.6 Developing States, to enable their delegations to participate more fully in the work of the Human Rights Council, upon their request, and to encourage their effective and informed participation in consultative and decision-making processes, including negotiation sessions; 3. Requests the Office of the United Nations High Commissioner for Human Rights to make arrangements for the operationalization of the Trust Fund; 4. Decides that the Trust Fund will be used to support the participation of Least Developed Countries and Small Island Developing States in the work of the Human Rights Council by providing funding for: (a) Training and capacity-building, including e-Learning. In partnership with the Office of the High Commissioner and the United Nations Institute for Training and Research and/or relevant academic/training institutions, the Trust Fund will support the development of, and the participation of Least Developed Countries and Small Island Developing States in, targeted training courses for officials on the international human rights system, international human rights law and the rules and functioning of the Human Rights Council and its mechanisms; (b) Travel and accommodation for Government officials to participate in Human Rights Council sessions. The Trust Fund will help Least Developed Countries and Small Island Developing States, represented or not represented in Geneva, to participate in Council sessions or to bring in supplementary support; (c) Fellowship programmes. Such programmes will cover subsistence costs to allow officials of Least Developed Countries and Small Island Developing States to undertake three-month work placements in their respective delegations to the Human Rights Council; (d) Induction training. The Trust Fund will support the organization, by the Office of the High Commissioner, of induction training sessions for diplomats from Least Developed Countries and Small Island Developing States assigned to cover the sessions of the Human Rights Council and the multilateral human rights system. Training sessions will be organized to coincide with the main periods of arrival and departure from Geneva. During the sessions, diplomats will receive focused, practical training on the work procedure of the Council and its mechanisms.",03/15/7012,2012_725222,Philippines,N/A,yes
2012,General Assembly,N/A,Sixty-sixth session,75,Report of the International Criminal Court,"Argentina, Australia, Austria, Belgium, Belize, Bosnia and Herzegovina, Brazil, Bulgaria, Canada, Chile, Colombia, Croatia, Cyprus, Czech Republic, Democratic Republic of the Congo, Denmark, Ecuador, Estonia, Finland, France, Gabon, Germany, Greece, Guatemala, Hungary, Iceland, Ireland, Italy, Japan, Jordan, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Mexico, Mongolia, Montenegro, Netherlands, New Zealand, Nigeria, Norway, Panama, Peru, Philippines, Poland, Portugal, Republic of Korea, Romania, Samoa, Serbia, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Timor-Leste, Trinidad and Tobago, Tunisia, Uganda, United Kingdom of Great Britain and Northern Ireland, Uruguay, Venezuela (Bolivarian Republic of) and Zambia",N/A,Report of the International Criminal Court,"The General Assembly, Recalling its resolution 65/12 of 23 November 2010, and all its previous relevant resolutions, Recalling also that the Rome Statute of the International Criminal Court! reaffirms the purposes and principles of the Charter of the United Nations, Reiterating the historic significance of the adoption of the Rome Statute, Emphasizing that justice, especially transitional justice in conflict and post-conflict societies, is a fundamental building block of sustainable peace, Convinced that ending impunity is essential if a society in conflict or recovering from conflict is to come to terms with past abuses committed against civilians affected by armed conflict and to prevent future such abuses, Acknowledging the fact that the International Criminal Court has achieved considerable progress in its analyses, investigations and judicial proceedings in various situations and cases which were referred to it by States parties to the Rome 12-34337* if 250512 CAA NAAT A Statute and by the Security Council, and which the Prosecutor of the International Criminal Court has initiated proprio motu, in accordance with the Rome Statute, Recalling that effective and comprehensive cooperation and assistance in all aspects of its mandate by States, the United Nations and other international and regional organizations remain essential for the International Criminal Court to carry out its activities, Expressing its appreciation to the Secretary-General for providing effective and efficient assistance to the International Criminal Court in accordance with the Relationship Agreement between the United Nations and the International Criminal Court (“Relationship Agreement”), 2 Acknowledging the Relationship Agreement as approved by the General Assembly in its resolution 58/318 of 13 September 2004, including paragraph 3 of the resolution with respect to the payment in full of expenses accruing to the United Nations as a result of the implementation of the Relationship Agreement,? which provides a framework for continued cooperation between the International Criminal Court and the United Nations, which could include the facilitation by the United Nations of the Court’s field activities, and encouraging the conclusion of supplementary arrangements and agreements, as necessary, Noting the need for funding of expenses related to investigations or prosecutions of the International Criminal Court, including in connection with situations referred to the Court by the Security Council, Welcoming the continuous support given by civil society to the International Criminal Court, Recognizing the role of the International Criminal Court in a multilateral system that aims to end impunity, establish the rule of law, promote and encourage respect for human rights and achieve sustainable peace, in accordance with international law and the purposes and principles of the Charter, Expressing its appreciation to the International Criminal Court for providing assistance to the Special Court for Sierra Leone, 1. | Welcomes the report of the International Criminal Court for 2010/11;4 2. Welcomes the States that have become parties to the Rome Statute of the International Criminal Court! in the past year, and calls upon all States in all regions of the world that are not yet parties to the Rome Statute to consider ratifying or acceding to it without delay; 3. Welcomes the States parties as well as States not parties to the Rome Statute that have become parties to the Agreement on the Privileges and Immunities of the International Criminal Court,® and calls upon all States that have not yet done so to consider becoming parties to that Agreement; 4. Calls upon States parties to the Rome Statute that have not yet done so to adopt national legislation to implement obligations emanating from the Rome A/66/L.47 Statute and to cooperate with the International Criminal Court in the exercise of its functions, and recalls the provision of technical assistance by States parties in this respect; 5. Welcomes the cooperation and assistance provided thus far to the International Criminal Court by States parties as well as States not parties, the United Nations and other international and regional organizations, and calls upon those States that are under an obligation to cooperate to provide such cooperation and assistance in the future, in particular with regard to arrest and surrender, the provision of evidence, the protection and relocation of victims and witnesses, and the enforcement of sentences; 6. Recalls article 3 of the Relationship Agreement according to which, with a view to facilitating the effective discharge of their respective responsibilities, the United Nations and the Court shall cooperate closely, whenever appropriate, with each other and consult each other on matters of mutual interest pursuant to the provisions of the Agreement and in conformity with the respective provisions of the Charter of the United Nations and the Rome Statute as well as the need to respect each other’s status and mandate,® and requests the Secretary-General to include information relevant to the implementation of article 3 of the Relationship Agreement in his report to be submitted pursuant to paragraph 11 of the present resolution; 7. Emphasizes the importance of cooperation with States that are not parties to the Rome Statute; 8. Invites regional organizations to consider concluding cooperation agreements with the International Criminal Court; 9. Recalls that, by virtue of article 12, paragraph 3, of the Rome Statute, if the acceptance of a State which is not a party to the Statute is required under article 12, paragraph 2, of the Rome Statute, that State may, by declaration lodged with the Registrar of the International Criminal Court, accept the exercise of jurisdiction by the Court with respect to the crime in question; 10. Encourages all States parties to take the interests, needs for assistance and mandate of the International Criminal Court into account when relevant matters are being discussed in the United Nations; 11. Emphasizes the importance of the full implementation of all aspects of the Relationship Agreement,? which forms a framework for close cooperation between the two organizations and for consultation on matters of mutual interest pursuant to the provisions of that Agreement and in conformity with the respective provisions of the Charter of the United Nations and the Rome Statute, as well as the need for the Secretary-General to inform the General Assembly at its sixty-seventh session of the expenses incurred and reimbursements received by the United Nations in connection with assistance provided to the International Criminal Court; 12. Recalling the referrals of situations to the International Criminal Court already made by the Security Council, also invites all States to consider contributing voluntarily to the bearing of expenses related to investigations or prosecutions of the Court, including in connection with situations referred to the Court by the Council, A/66/L.47 in accordance with the modalities for such contributions established by the Registrar of the International Criminal Court; 13. Expresses its appreciation for the work undertaken by the International Criminal Court liaison office to United Nations Headquarters, and encourages the Secretary-General to continue to work closely with that office; 14. Encourages States to contribute to the Trust Fund established for the benefit of victims of crimes within the jurisdiction of the International Criminal Court and the families of such victims, and acknowledges with appreciation contributions made to that Trust Fund thus far; 15. Recalls that, at the Review Conference of the Rome Statute, which was convened and opened by the Secretary-General and held in Kampala from 31 May to 11 June 2010, States parties reaffirmed their commitment to the Rome Statute and its full implementation, as well as its universality and integrity, and that the Conference undertook a stocktaking of international criminal justice, considering the impact of the Rome Statute on victims and affected communities, peace and justice, complementarity and cooperation, called for the strengthening of the enforcement of sentences,” adopted amendments to the Rome Statute to expand the jurisdiction of the International Criminal Court to three additional war crimes when committed in armed conflicts not of an international character,® adopted amendments to the Rome Statute to define the crime of aggression and to establish conditions under which the Court could exercise jurisdiction with respect to that crime,° and decided to retain article 124 of the Statute; 1° 16. Acknowledges the report of the Secretary-General on the work of the Organization,!! in which the Secretary-General stated that following the success of the ninth session of the Assembly of States Parties to the Rome Statute, efforts towards universality had yielded positive results; 12 17. Takes note of the decision of the Assembly of States Parties to the Rome Statute at its tenth session, while recalling that according to article 112, paragraph 6, of the Rome Statute, the Assembly of States Parties shall meet at the seat of the International Criminal Court or at United Nations Headquarters, to hold its eleventh session in The Hague, !3 looks forward to the eleventh session, which is to be held from 14 to 22 November 2012, and requests the Secretary-General to provide the necessary services and facilities in accordance with the Relationship Agreement and resolution 58/318; 18. Encourages the widest possible participation of States in the Assembly of States Parties, invites States to contribute to the Trust Fund for the participation of 7 See resolution RC/Res.3 adopted by the Review Conference of the Rome Statute of the International Criminal Court. 8 See resolution RC/Res.5 adopted by the Review Conference of the Rome Statute of the International Criminal Court. 9 See resolution RC/Res.6 adopted by the Review Conference of the Rome Statute of the International Criminal Court. 10 See resolution RC/Res.4 adopted by the Review Conference of the Rome Statute of the International Criminal Court. 13 See resolution ICC-ASP/10/Res.5 of the Assembly of States Parties to the Rome Statute of the International Criminal Court. A/66/L.47 least developed countries, and acknowledges with appreciation contributions made to that Trust Fund thus far; 19. Invites the International Criminal Court to submit, in accordance with article 6 of the Relationship Agreement, a report on its activities for 2011/12, for consideration by the General Assembly at its sixty-seventh session. 12-34337",05/16/2012,2012_727240,Philippines,"* Reissued for technical reasons on 23 May 2012. 1 United Nations, Treaty Series, vol. 2187, No. 38544.",yes
2012,Economic And Social Council,Commission On Human Rights,Twenty-first session,5 (d),Integration and coordination of efforts by the United Nations Office on Drugs and Crime and Member States in the field of crime prevention and criminal justice: other crime prevention and criminal justice matters,Philippines and Thailand,N/A,The Commission on Crime Prevention and Criminal Justice recommends to the,"Economic and Social Council the approval of the following resolution for adoption by the General Assembly: Strengthening the rule of law and the reform of criminal justice institutions, particularly in the areas related to the United Nations system-wide approach to fighting transnational organized crime and drug trafficking The General Assembly, Recalling its resolution 66/102 of 9 December 2011, entitled “The rule of law at the national and international levels”, in which it reaffirmed its commitment to the purposes and principles of the Charter of the United Nations and international law, which are indispensable foundations of a more peaceful, prosperous and just world, and reiterated its determination to foster strict respect for them and to establish a just and lasting peace all over the world, Stressing the importance of a well-functioning, efficient, effective and humane criminal justice system as the basis for a successful strategy against transnational organized crime, corruption, terrorism, and drug trafficking and other forms of trafficking, Greatly concerned by the negative impact of organized crime on human rights, the rule of law, security and development, as well as by the sophistication, diversity Please reeyele & and transnational aspects of organized crime and its links with other criminal and, in some cases, terrorist activities, Recognizing the importance of the rule of law to all areas of engagement within the United Nations system, and noting with appreciation the progress made in ensuring coherence and coordination of activities to support the rule of law, in cooperation with the Rule of Law Coordination and Resources Group, while recognizing the different mandates of different United Nations entities; Recalling Economic and Social Council resolutions 2004/25 of 21 July 2004, 2005/21 of 22 July 2005 and 2006/25 of 27 July 2006, on strengthening the rule of law and the reform of criminal justice institutions, as well as the technical cooperation capacity of the United Nations crime prevention and criminal justice programme in that area, including in post-conflict reconstruction, and aware of the leading role of the Department of Peacekeeping Operations of the Secretariat, among other entities, in providing assistance to countries in post-conflict situations, Recalling also Economic and Social Council resolutions 2009/23 of 30 July 2009, entitled “Support for the development and implementation of the regional programmes of the United Nations Office on Drugs and Crime”, and 2010/20 of 22 July 2010, entitled “Support for the development and implementation of an integrated approach to programme development at the United Nations Office on Drugs and Crime”, Recalling further the Salvador Declaration on Comprehensive Strategies for Global Challenges: Crime Prevention and Criminal Justice Systems and Their Development in a Changing World,! in which Member States recognized the centrality of crime prevention and the criminal justice system to the rule of law and that long-term, sustainable economic and social development and the establishment of a functioning, efficient, effective and humane criminal justice system have a positive influence on each other, Bearing in mind that the rule of law will include, inter alia, fostering respect for the rule-of-law culture and legislative, executive and judicial institutions needed to make and administer effective laws and trust and confidence that law-making will be responsive to the concerns and needs of the population and that the administration of law will be just, efficient and transparent, Convinced of the negative impact of corruption, which erodes public confidence, legitimacy and transparency and impedes the making of fair and effective laws, as well as their administration, enforcement and adjudication, Stressing the importance of the rule of law, both nationally and internationally, as an essential element in addressing and preventing organized crime and corruption, Recognizing the value of the efforts being made throughout the United Nations system to strengthen activities aimed at promoting the rule of law, including the establishment of the Rule of Law Coordination and Resource Group and the Rule of Law Unit in the Executive Office of the Secretary-General, ! General Assembly resolution 65/230, annex. V.12-52884 Noting with appreciation the establishment by the Secretary-General of the United Nations system task force on transnational organized crime and drug trafficking as threats to security and stability, for the purpose of developing within the United Nations system an effective and comprehensive approach to transnational organized crime and drug trafficking, and reaffirming the crucial role of Member States, as reflected in the Charter of the United Nations, Acknowledging that the United Nations standards and norms in crime prevention and criminal justice are important tools for establishing fair and effective criminal justice systems enshrined in the rule of law and that their use and application in the provision of technical assistance should be enhanced, as appropriate,? 1. Calls upon relevant entities of the United Nations system to continue cooperating and coordinating their activities, within their respective mandates, to promote a more integrated approach to the provision of assistance for building capacity in the area of the rule of law and criminal justice reform and to further explore joint projects in that area; 2. Also calls upon relevant entities of the United Nations system to systematically take into account the various aspects of the rule of law in their programmes, projects and other activities related to crime prevention and criminal justice and to include in them all segments of the population, particularly women; 3. Reaffirms the importance of the United Nations crime prevention and criminal justice programme in promoting effective action to strengthen international cooperation in crime prevention and criminal justice; 4. Also reaffirms the importance of the work of the United Nations Office on Drugs and Crime, in the fulfilment of its mandate on crime prevention and criminal justice, to provide to Member States, upon request and as a matter of high priority, technical assistance, advisory services and other forms of assistance and to coordinate with and complement the work of all relevant and competent United Nations bodies and offices, taking into account their respective mandates; 5. Strongly encourages all States to enhance bilateral, regional and international cooperation, in accordance with their domestic legislation, to counter the challenges posed by transnational organized crime and drug trafficking; 6. Encourages the United Nations Office on Drugs and Crime to incorporate relevant elements of the rule of law into its programmes and projects pertaining to crime prevention and criminal justice, in coordination, as appropriate, with other relevant United Nations entities, inter alia, the Rule of Law Coordination and Resource Group, the Office of the United Nations High Commissioner for Human Rights and the Department of Peacekeeping Operations of the Secretariat; 7. Also encourages the United Nations Office on Drugs and Crime to continue to provide technical assistance and advisory services to Member States, upon request, in support of criminal justice reform, and to incorporate the rule of law into such assistance, as appropriate, including in the framework of peacebuilding, peacekeeping and post-conflict reconstruction, and to promote relevant international legal instruments, including the United Nations Convention V.12-52884 against Transnational Organized Crime and the Protocols thereto,? the United Nations Convention against Corruption* and the United Nations Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances of 1988,5 as well as relevant international anti-terrorism instruments, as appropriate, also drawing on the existing United Nations standards and norms in crime prevention and criminal justice; 8. Welcomes the progress made by the United Nations Office on Drugs and Crime, within its mandate and in close consultation with Member States and regional entities, in developing and implementing an integrated programme approach to technical assistance, comprising thematic and regional programmes for its delivery; 9. Encourages the United Nations Office on Drugs and Crime to continue developing tools and training material on crime prevention and criminal justice reform, based on international standards and norms; 10. Reiterates its recommendation in its resolution 66/181 of 19 December 2011 that Member States, as appropriate to their national contexts, adopt a comprehensive and integrated approach to crime prevention and criminal justice reform, based on baseline assessments and data collection and focusing on all sectors of the justice system, and develop crime prevention policies, strategies and programmes, and its request in that resolution to the United Nations Office on Drugs and Crime to continue to provide technical assistance, upon request, to Member States for that purpose; 11. Requests the United Nations Office on Drugs and Crime to continue to provide technical assistance, within its mandate, to Member States, upon request, in relation to the rule of law and long-term sustainable criminal justice reform; 12. Urges Member States providing development assistance to countries emerging from conflict to increase, where relevant, their bilateral assistance in crime prevention and criminal justice to those countries, and recommends that such assistance could, upon request, include elements relating to the rule of law; 13. Jnvites the institutes of the United Nations crime prevention and criminal justice programme network to include in their work programmes the issue of the tule of law, particularly aspects pertaining to crime prevention and criminal justice, with a view to understanding whether there are links between transnational organized crime, drug trafficking and corruption, and, if so, to establish the degree and nature of those links as well as the challenges they may pose to the rule of law, and to develop appropriate training material; 14. Requests the Secretary-General to submit to it, at its sixty-eighth session, a report on the implementation of the present resolution; 15. Invites Member States and other donors to provide extrabudgetary resources for these purposes in accordance with the rules and procedures of the United Nations. tl 3 United Nations, Treaty Series, vols. 2225, 2237, 2241 and 2326, No. 39574. 4 Ibid., vol. 2349, No. 42146. 5 Ibid., vol. 1582, No. 27627. V.12-52884",04/26/2012,2012_728952,Philippines,N/A,yes
