year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
2019,General Assembly,N/A,Seventy-third session,72,"Elimination of racism, racial discrimination, xenophobia and related intolerance","Indonesia, Japan, Kuwait, Malaysia, Pakistan, Qatar, Samoa, Somalia, Suriname and Turkey",N/A,Combating terrorism and other acts of violence based on religion or belief,"Addendum Add the following countries to the list of sponsors of the resolution: Algeria, Azerbaijan, Bahrain, Bangladesh, Belarus, Ecuador, Egypt, Fiji, [ran (Islamic Republic of), Jordan, Kazakhstan, Kyrgyzstan, Lebanon, Libya, Maldives, Mali, Morocco, Nigeria, Panama, Paraguay, Philippines, Russian Federation, Saudi Arabia, Serbia, Spain, Tajikistan, Tunisia, Turkmenistan, Uzbekistan, Venezuela (Bolivarian Republic of), Viet Nam, Zimbabwe and State of Palestine Remove the following country from the list of sponsors of the resolution: Japan Please recycle 19-05483 iii 040419 A A",04/02/2019,2019_3799138,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-third session,128 (z),Cooperation between the United Nations and regional and other organizations: cooperation between the United Nations and the International Fund for Saving the Aral Sea,"Belarus, Canada, China, Kazakhstan, Norway, Turkmenistan and Uzbekistan",N/A,Cooperation between the United Nations and the International Fund for Saving the Aral Sea,"The General Assembly, Taking note with satisfaction of the report of the Secretary-General on cooperation between the United Nations and regional and other organizations, ! Referring to the Articles of the Charter of the United Nations that encourage measures for regional cooperation to advance the purposes and principles of the United Nations, Referring also to its resolution 63/133 of 11 December 2008, by which it granted the International Fund for Saving the Aral Sea observer status in the General Assembly, Referring further to its resolution 72/273 of 12 April 2018 on cooperation between the United Nations and the International Fund for Saving the Aral Sea, Taking note with appreciation of the joint communiqué adopted by the Heads of State of Kazakhstan, Tajikistan, Turkmenistan and Uzbekistan during a meeting of the Council of Heads of the Founding States of the International Fund for Saving the Aral Sea, held in the Avaza national tourist area in Turkmenbashi, Turkmenistan, on 24 August 2018,” Acknowledging that the negative humanitarian, environmental and socioeconomic consequences of the Aral Sea basin tragedy go well beyond the region and represent a global concern, ! A/73/328-S/2018/592. 2 A/73/444, annex. Please rec eee : a , Cc 19-08322 ii 230519 A A A Welcoming the efforts of the States members of the International Fund for Saving the Aral Sea to attain objectives consistent with the purposes and principles of the United Nations, Noting the creation of the multi-partner human security trust fund for the Aral Sea region under the auspices of the United Nations, which aims to overcome the negative circumstances of the ecological catastrophe in the Aral Sea region and implement projects to improve the socioeconomic situation in the region, Convinced that the activities of the International Fund for Saving the Aral Sea and its bodies should take into account the interests and needs of all the countries of Central Asia, Reaffirming that achieving international cooperation in solving international problems of an economic, social or humanitarian nature is one of the purposes of the United Nations, Referring to the relevant resolutions of the Security Council, including resolution 1631 (2005) of 17 October 2005, as well as statements by the President of the Council in which the Council emphasized the importance of developing effective partnerships between the United Nations and regional and subregional organizations, in accordance with the Charter, Welcoming the commitment of the International Fund for Saving the Aral Sea to intensifying and deepening its cooperation with the agencies, programmes and funds of the United Nations system, Referring to its resolution 72/279 of 31 May 2018 on the repositioning of the United Nations development system in the context of the quadrennial comprehensive policy review of operational activities for development of the United Nations system, and calling for more effective cooperation between Central Asian States and United Nations agencies in support of the implementation of the 2030 Agenda for Sustainable Development,? Convinced that strengthening cooperation between the United Nations and the International Fund for Saving the Aral Sea will advance the purposes and principles of the United Nations, 1. Notes the need for further improvement of the activities of the International Fund for Saving the Aral Sea to strengthen regional cooperation in such areas as social and economic development; environmental protection and response to natural disasters; water resources management; adaptation to climate change and mitigation of its consequences; exchange of information; science and innovation; and other related areas; 2. Also notes the importance of strengthening cooperation and coordination between the United Nations system and the International Fund for Saving the Aral Sea, and invites the Secretary-General to hold for that purpose regular consultations with the Chair of the Executive Committee of the International Fund, making use of appropriate inter-agency forums and formats, including consultations between the Secretary-General and the heads of regional organizations; 3. Further notes the proposal on the need to consider the possibility of developing a United Nations special programme for the Aral Sea basin and in this regard to hold consultations in 2019 with the Executive Committee of the International Fund for Saving the Aral Sea, Member States and relevant United Nations agencies; 2/3 4. Emphasizes the importance of the development and_ effective implementation of regional environmental protection programmes for sustainable development in Central Asia, including assistance programmes for the countries of the Aral Sea basin; 5. Invites the specialized agencies and other organizations, programmes and funds of the United Nations system, as well as international financial institutions, to develop their cooperation with the International Fund for Saving the Aral Sea; 6. Requests the Secretary-General to report to the General Assembly at its seventy-fifth session on the implementation of the present resolution; 7. Decides to include in the provisional agenda of its seventy-fifth session, under the item entitled “Cooperation between the United Nations and regional and other organizations”, the sub-item entitled “Cooperation between the United Nations and the International Fund for Saving the Aral Sea”. 19-08322 3/3",05/21/2019,2019_3805734,Turkmenistan,N/A,yes
2019,General Assembly,Commission On Human Rights,Seventy-third session,74,Promotion and protection of human rights,"Brazil, Canada, Egypt, Iraq, Jordan, Nigeria, Pakistan, Poland and United States of America",N/A,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief,"Addendum Add the following countries to the list of sponsors ofthe resolution: Afghanistan, Albania, Angola, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahrain, Bangladesh, Belgium, Benin, Bosnia and Herzegovina, Bulgaria, Cameroon, Central African Republic, Colombia, Congo, Croatia, Cyprus, Czechia, Democratic Republic of the Congo, Djibouti, Equatorial Guinea, Eritrea, Estonia, Georgia, Germany, Greece, Guatemala, Guinea- Bissau, Guyana, Hungary, Ireland, Israel, Italy, Japan, Kazakhstan, Kiribati, Latvia, Lebanon, Liberia, Libya, Lithuania, Luxembourg, Mali, Malta, Monaco, Montenegro, Morocco, New Zealand, North Macedonia, Norway, Oman, Panama, Paraguay, Philippines, Portugal, Qatar, Republic of Korea, Republic of Moldova, Romania, San Marino, Saudi Arabia, Senegal, Serbia, Singapore, Slovakia, Slovenia, Spain, Sri Lanka, Thailand, Turkey, Turkmenistan, Ukraine, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland, Uzbekistan and State of Palestine Please recycle eS",05/28/2019,2019_3806819,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-third session,15,Culture of peace,"Bolivia (Plurinational State of), Canada, Chile, Cuba, Ecuador, Fiji, Kazakhstan, Paraguay, Peru and Saint Vincent and the Grenadines",N/A,International Day of the Celebration of the Solstice,"Addendum Add the following countries to the list of sponsors of the resolution: Argentina, Benin, Brazil, Colombia, Costa Rica, Guatemala, Kyrgyzstan, Pakistan, Philippines, Suriname, Turkmenistan and Venezuela (Bolivarian Republic of) ee F ; : Please recycle OQ ok 19-10283 Ti 240619 A AT",06/20/2019,2019_3810451,Turkmenistan,N/A,yes
2019,General Assembly,Commission On Human Rights,Seventy-third session,74 (b),"Promotion and protection of human rights: human rights questions, including alternative approaches for improving the effective enjoyment of human rights and fundamental freedoms","Afghanistan, Australia, Canada, Egypt, Equatorial Guinea, France, Iraq, Kazakhstan, Mali, Nigeria, Qatar, Saudi Arabia, Somalia, Spain and Turkey",N/A,Enhancement of international cooperation to assist victims of terrorism,"Addendum Add the following countries to the list of sponsors of the resolution: Albania, Algeria, Andorra, Antigua and Barbuda, Argentina, Austria, Azerbaijan, Bahrain, Bangladesh, Belgium, Bosnia and Herzegovina, Bulgaria, Cameroon, Central African Republic, Chad, Croatia, Cyprus, Czechia, Denmark, Djibouti, Eritrea, Estonia, Finland, Germany, Greece, Guinea, Hungary, Iceland, India, Indonesia, Ireland, Israel, Italy, Kenya, Kiribati, Latvia, Lebanon, Libya, Liechtenstein, Lithuania, Luxembourg, Maldives, Malta, Mexico, Monaco, Montenegro, Morocco, Netherlands, New Zealand, North Macedonia, Norway, Panama, Poland, Portugal, Republic of Korea, Romania, San Marino, Senegal, Serbia, Slovakia, Slovenia, Sweden, Switzerland, Tajikistan, Tunisia, Turkmenistan, United Kingdom of Great Britain and Northern Ireland, United States of America, Uzbekistan and Yemen edad Please recycle OQ hie _ 19-11079 Hi 030719 A TT A A",06/28/2019,2019_3811717,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-third session,15,Culture of peace,Bahrain,N/A,Promoting the Culture of Peace with Love and Conscience,"Addendum Add the following countries to the list of sponsors of the resolution: Afghanistan, Azerbaijan, Bangladesh, Benin, Burkina Faso, Djibouti, Equatorial Guinea, Guatemala, Guinea, Jordan, Kazakhstan, Kuwait, Lebanon, Morocco, Oman, Pakistan, Panama, Philippines, Samoa, Saudi Arabia, Tajikistan, Tunisia, Turkmenistan, United Arab Emirates, Uzbekistan, Venezuela (Bolivarian Republic of) and Yemen op ES ee OF Please recycle OQ io 19-12755 Hi 310719 A TA AA",07/25/2019,2019_3813841,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-third session,15,Culture of peace,Morocco,N/A,Promoting interreligious and intercultural dialogue and tolerance in countering hate speech,"Addendum Add the following countries to the list of sponsors of the resolution: Afghanistan, Albania, Angola, Antigua and Barbuda, Austria, Azerbaijan, Bahrain, Bangladesh, Belgium, Benin, Bolivia (Plurinational State of), Bosnia and Herzegovina, Brazil, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cameroon, Canada, Congo, Croatia, Cyprus, Czechia, Céte d’Ivoire, Djibouti, Ecuador, Egypt, Equatorial Guinea, Eritrea, Estonia, Finland, France, Gabon, Gambia, Germany, Ghana, Greece, Guatemala, Guinea, Hungary, Iceland, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Liberia, Lithuania, Luxembourg, Mali, Malta, Monaco, Montenegro, Nigeria, North Macedonia, Norway, Oman, Pakistan, Panama, Papua New Guinea, Poland, Portugal, Qatar, Romania, Rwanda, Saint Lucia, Saint Vincent and the Grenadines, San Marino, Saudi Arabia, Senegal, Serbia, Slovakia, Slovenia, Spain, Suriname, Tajikistan, Tunisia, Turkmenistan, Uganda, United Arab Emirates, United Kingdom of Great Britain and Northern Ireland, Uzbekistan, Venezuela (Bolivarian Republic of) and Yemen Bagel Please recycle OQ en 19-12754 Hi 310719 A TT A",07/25/2019,2019_3813845,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-fourth session,N/A,United Nations As74/290,"Letter dated 31 July 2019 from the Permanent Representatives of Armenia, Azerbaijan, Belarus, China, Kazakhstan, Kyrgyzstan, the Russian Federation, Tajikistan, Turkmenistan and Uzbekistan to the United Nations addressed to the Secretary-General We have the honour to request, in accordance with rule 14 of the rules of procedure of the General Assembly, the inclusion in the agenda of the seventy-fourth session of the General Assembly of a supplementary item entitled “Seventy-fifth anniversary of the end of the Second World War”, to be considered by the General Assembly in plenary session. In conformity with rule 20 of the rules of procedure of the General Assembly, an explanatory note (annex I)",N/A,We should be grateful if you would have the present letter and its annexes circulated as a document of the General Assembly.,"(Signed) Mher Margaryan Permanent Representative of the Republic of Armenia to the United Nations (Signed) Yashar Aliyev Permanent Representative of the Republic of Azerbaijan to the United Nations (Signed) Valentin Rybakov Permanent Representative of the Republic of Belarus to the United Nations 19-13639 Hi 150819 A A A A/74/290 (Signed) Zhang Jun Permanent Representative of the People’s Republic of China to the United Nations (Signed) Kairat Umarov Permanent Representative of the Republic of Kazakhstan to the United Nations (Signed) Mirgul Moldoisaeva Permanent Representative of the Kyrgyz Republic to the United Nations (Signed) Vassily Nebenzia Permanent Representative of the Russian Federation to the United Nations (Signed) Mahmadamin Mahmadaminov Permanent Representative of the Republic of Tajikistan to the United Nations (Signed) Aksoltan Ataeva Permanent Representative of Turkmenistan to the United Nations (Signed) Bakhtiyor Ibragimov Permanent Representative of the Republic of Uzbekistan to the United Nations 2/4 A/74/290 Annex I Explanatory note In 2020 the States Members of the United Nations will solemnly mark the seventy-fifth anniversary of the victory in the Second World War. That war, unprecedented in its scale and ferocity, turned into a great tragedy for the peoples of Europe, Asia and the world. A threat to the very basic principles of civilization was averted at the cost of colossal joint efforts and grave losses. Through the suffering and death of millions of people, the world community came to realize the indispensability of a system of collective security and the necessity of establishing reliable machinery to ensure international peace. The burning desire to spare humanity forever from the miseries of war inspired States to establish a reliable mechanism for maintaining international peace and security — the United Nations. The objectives set for the Organization when established are still relevant. Among them are the strengthening of an equitable world order based on the principles of humanism and mutually beneficial cooperation, the effective maintenance of international peace and security, and the promotion of sustained development in the political, socioeconomic and other spheres. Today we need to remember the lessons of the Second World War and to work to promote the preservation of the historical memory of peoples. The perception of the victory won in 1945 as a common value for all of humanity is essential for the coming together of the international community to address dangerous modern challenges and threats. The memory of the victory over fascism is also relevant in terms of preventing attempts to revise the results of the Second World War and the conclusions of the Nuremberg Tribunal and the International Military Tribunal for the Far East, as well as in the light of the objectives of the United Nations to oppose crimes based on race, nationality and ethnic origin and the spread of ideas of intolerance and related contemporary forms of racial discrimination. It is in the direct interest of humanity to further strengthen the role and effectiveness of the United Nations as the central element in the collective security system designed to put into practice the high goal proclaimed in the Charter of the United Nations — “to save succeeding generations from the scourge of war”. Consideration of this agenda item could lead to the adoption by the General Assembly of a resolution on the seventy-fifth anniversary of the Second World War. This would make it possible to hold a special solemn meeting of the General Assembly in memory of all victims of the war. 3/4 A/74/290 Annex IT Draft resolution Seventy-fifth anniversary of the end of the Second World War The General Assembly, Recalling its resolution 59/26 of 22 November 2004, in which it, inter alia, declared 8 and 9 May as a time of remembrance and reconciliation, while recognizing that Member States may have individual dates of victory, liberation and commemoration, Recalling that 2020 will mark the seventy-fifth anniversary of the end of the Second World War, a war which brought untold sorrow to mankind, particularly in Asia and Europe, Stressing that this historic event established the conditions for the creation of the United Nations, designed to save succeeding generations from the scourge of war, Calling upon the States Members of the United Nations to unite their efforts in dealing with new challenges and threats, with the United Nations playing a central role, and to make every effort to settle all disputes by peaceful means in conformity with the Charter of the United Nations and in such a manner that international peace and security are not endangered, Underlining the progress made since the end of the Second World War in overcoming its legacy and towards reconciliation, international and regional cooperation and the promotion of democratic values, human rights and fundamental freedoms, in particular through the United Nations, and the establishment of regional organizations and other appropriate frameworks, 1. Invites all Member States, organizations of the United Nations system, non-governmental organizations and individuals to observe these days in an appropriate manner to pay tribute to all victims of the Second World War; 2. Requests the President of the General Assembly to hold a special solemn meeting of the General Assembly in the second week of May 2020 in commemoration of all victims of the war; 3. Requests the Secretary-General to bring the present resolution to the attention of all Member States and organizations of the United Nations system and to take measures necessary for its implementation. 19-13639 4/4",08/07/2019,2019_3823809,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-third session,15,Culture of peace,"Azerbaijan, Belarus, Canada, Central African Republic, Cuba, Ecuador, Guinea, India, Indonesia, Kyrgyzstan, Lebanon, Nicaragua, Norway, Paraguay, Qatar, Russian Federation, Saudi Arabia, Sierra Leone, Singapore, Sri Lanka, Turkey, Turkmenistan, Uzbekistan, Venezuela (Bolivarian Republic of) and Viet Nam",N/A,"International Year of Peace and Trust, 2021","The General Assembly, Reaffirming the Charter of the United Nations and its purposes and principles, and especially the commitment to settle disputes through peaceful means and the determination to save succeeding generations from the scourge of war, Recognizing the important role of the United Nations in developing friendly relations among nations, Acknowledging that the approach of multilateralism and diplomacy could reinforce the advancement of the three pillars of the United Nations, namely, sustainable development, peace and security and human rights, which are interconnected and mutually reinforcing, while observing respective mandates and the Charter, Recognizing the importance of the Declaration and Programme of Action on a Culture of Peace,! which serve as the universal mandate for the international community, particularly the United Nations system, for the promotion of a culture of peace and non-violence that benefits humanity, in particular future generations, Recognizing also the urgent need to promote and strengthen preventive diplomacy, inter alia, through multilateralism and political dialogue, and the important role of the United Nations in this regard, Acknowledging that peace and trust entail accepting differences and having the ability to listen to, recognize, respect and appreciate others, as well as living in a peaceful and united way, ' Resolutions 53/243 A and B. Please recycle eS 19-15078 1 050919 A AA A Recognizing the role of international, regional and subregional organizations, in accordance with their mandates, in the promotion and preservation of peace, Recognizing also that peace not only is the absence of conflict, but also requires a positive, dynamic participatory process where dialogue is encouraged and conflicts are solved in a spirit of mutual understanding and cooperation, Stressing the importance of preventive diplomacy in supporting the efforts of the United Nations to promote the peaceful settlement of conflicts, in order to preserve peace, Reaffirming its resolutions 53/199 of 15 December 1998 and 61/185 of 20 December 2006 on the proclamation of international years, and Economic and Social Council resolution 1980/67 of 25 July 1980 on international years and anniversaries, in particular paragraphs 1 to 10 of the annex thereto on the agreed criteria for the proclamation of international years, as well as paragraphs 13 and 14, in which it is stated that an international day or year should not be proclaimed before the basic arrangements for its organization and financing have been made, Reaffirming also the United Nations Millennium Declaration? and its resolution 70/1 of 25 September 2015, entitled “Transforming our world: the 2030 Agenda for Sustainable Development”, Encouraging the continued and increasing efforts and activities on the part of civil society organizations throughout the world in advancing a culture of peace, as envisaged in the Declaration and Programme of Action on a Culture of Peace, 1. Declares 2021 the International Year of Peace and Trust; 2. Underlines that the International Year of Peace and Trust constitutes a means of mobilizing the efforts of the international community to promote peace and trust among nations based on, inter alia, political dialogue, mutual understanding and cooperation, in order to build sustainable peace, solidarity and harmony; 3. Calls upon the international community to continue to promote peace and trust among nations as a value that promotes sustainable development, peace and security and human rights; 4. Invites all Member States, organizations of the United Nations system, other relevant international and regional organizations and civil society, including non-governmental organizations, individuals and other relevant stakeholders, to facilitate the observance of the International Year of Peace and Trust, in an appropriate manner and to disseminate the advantages of peace and trust, including through educational and public awareness-raising activities; 5. Requests the Secretary-General to bring the present resolution to the attention of all Member States, organizations of the United Nations system and other international and regional organizations, as well as civil society, including non-governmental organizations and individuals; 6. Stresses that the cost of all activities that may arise from the implementation of the present resolution should be met from voluntary contributions. 2 Resolution 55/2. 2/2",09/03/2019,2019_3826449,Turkmenistan,N/A,yes
2019,General Assembly,N/A,Seventy-third session,13,"2001-2010: Decade to Roll Back Malaria in Developing Countries, Particularly in Africa","Eswatini,* Philippines, Singapore and Venezuela (Bolivarian Republic of)",N/A,"Consolidating gains and accelerating efforts to control and eliminate malaria in developing countries, particularly in Africa, by 2030","Addendum Add the following countries to the list of sponsors of the resolution: Antigua and Barbuda, Brazil, Canada, India, Indonesia, Maldives, Myanmar, Papua New Guinea, Sri Lanka, Thailand, Turkey and Turkmenistan the Group of id Please recycle OQ ol 19-15690 1 160919 Please reeycl A A A",09/12/2019,2019_3827373,Turkmenistan,* On behalf of the States Members of the United Nations that are members of|the Group of African States.,yes
