year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
2014,General Assembly,Commission On Human Rights,Twenty-fifth session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Algeria, Bahrain,* Belarus,* China, Cuba, Ecuador,* Egypt,* Ethiopia, India, Namibia, Russian Federation, Saudi Arabia, United Arab Emirates, Venezuela (Bolivarian Republic of), Viet Nam",N/A,25/... Mandate of the Special Rapporteur on the situation of human rights defenders,"Above the first preambular paragraph, insert a new paragraph reading Guided by the purposes and principles of the Charter of the United Nations, the Universal Declaration of Human Rights, the International Covenants on Human Rights and other relevant instruments, GE. 14-12529 Please recycle es",03/26/2014,2014_767512,Viet Nam,* Non-member State of the Human Rights Council. * 1412529 %,yes
2014,General Assembly,N/A,Sixty-eighth session,12,Global road safety crisis,"Argentina, Bangladesh, Belarus, Belgium, Brazil, Bulgaria, China, Croatia, Cyprus, Democratic People’s Republic of Korea, Denmark, Egypt, Finland, Germany, Greece, Hungary, Iceland, Ireland, Japan, Jordan, Kazakhstan, Luxembourg, Malta, Mexico, Monaco, Nicaragua, Oman, Palau, Poland, Portugal, Romania, Russian Federation, Samoa, Singapore, Slovakia, Slovenia, Somalia, Spain, Sri Lanka, Syrian Arab Republic, Tajikistan, Thailand, Trinidad and Tobago, Turkey, Uruguay and Viet Nam",N/A,Improving global road safety,"The General Assembly, Recalling its resolutions 57/309 of 22 May 2003, 58/9 of 5 November 2003, 58/289 of 14 April 2004, 60/5 of 26 October 2005, 62/244 of 31 March 2008, 64/255 of 2 March 2010 and 66/260 of 19 April 2012 on improving global road safety, Recalling also the United Nations Conference on Sustainable Development, held in Rio de Janeiro, Brazil, from 20 to 22 June 2012, and its outcome document, entitled “The future we want”,! in which Member States took into account road safety as part of their efforts to achieve sustainable development, Recalling further the special event to follow up efforts made towards achieving the Millennium Development Goals, convened by the President of the General Assembly on 25 September 2013, and its outcome document,” Having considered the note by the Secretary-General transmitting the report on improving global road safety? and the recommendations contained therein, Noting that road traffic injuries are a major public health and development problem that has a broad range of social and economic consequences, which, if unaddressed, may affect the sustainable development of countries and hinder progress towards the Millennium Development Goals, ! Resolution 66/288, annex. 2 Resolution 68/6. 3 A/68/368. a3 Please recycle 14-28766 (E) 030414 CA A A A Expressing its concern that the number of road traffic deaths still remains unacceptably high, with an estimated 1.24 million lives lost in 2010,° and that only 7 per cent of the world’s population is covered by adequate laws that address all behavioural risk factors, including the non-use of helmets, safety belts and child restraints, driving under the influence of alcohol and drugs, inappropriate and excessive speed and the inappropriate use of cellular telephones, including texting, while driving, Also expressing its concern that half of all road traffic deaths worldwide involve pedestrians, motorcyclists and bicyclists, and that some developing countries have inadequate infrastructure and insufficient policies in place to protect these vulnerable road users, Recognizing the role of the first Global Ministerial Conference on Road Safety, held in Moscow on 19 and 20 November 2009, which culminated in a declaration inviting the General Assembly to declare a decade of action for road safety,+ Noting with satisfaction that targeted steps to reduce road traffic injuries undertaken by the United Nations, including in the framework of the Decade of Action for Road Safety, have yielded positive results, and recognizing in this regard that more than 100 Member States, United Nations organizations, non-governmental organizations and civil society representatives organized pedestrian safety activities during the second United Nations Global Road Safety Week, held from 6 to 12 May 2013, Commending the Governments of Brazil, Mozambique, Romania and Thailand and the World Health Organization for the successful launch, in May 2013 in the context of the sixty-sixth World Health Assembly, of the Global Alliance for Care of the Injured, Acknowledging the role of Oman in drawing the attention of the international community to global road safety and in preparing the first United Nations Global Road Safety Week, held from 23 to 29 April 2007 during the sixth meeting of the United Nations Road Safety Collaboration, held in Muscat on 27 and 28 February 2007, Commending the World Health Organization for its role in implementing the mandate conferred upon it by the General Assembly to coordinate road safety issues within the United Nations system, in close cooperation with the United Nations regional commissions, in providing support for the implementation of the Decade of Action, and in preparing the Global Status Report on Road Safety 2013 and publishing a pedestrian safety manual, which provides information for use in developing and implementing comprehensive measures to improve pedestrian safety, and commending also the progress of the United Nations Road Safety Collaboration,> Recognizing the work of the United Nations regional commissions in increasing road safety activities and advocating increased political commitment to 5 A consultative mechanism to coordinate the road safety activities implemented by its members and to provide Governments and civil society with good-practice guidelines to support action to tackle the major road safety risk factors and support their implementation. 2/7 road safety, in elaborating global road safety-related legal instruments, including international conventions and agreements, technical standards, resolutions and recommendations, and working towards setting regional and national road traffic casualty reduction targets, Commending the Economic Commission for Europe for its plan to implement the United Nations Decade of Action, which includes actions, initiatives and measures for the Working Parties of the Commission in the areas of road infrastructure, traffic rules, dangerous goods and vehicle regulations, noting with satisfaction the establishment by the Commission of the two new groups of experts, namely on road signs and signals and on improving safety at level crossings, recognizing the continuous work of the World Forum for the Harmonization of Vehicle Regulations to modify vehicle regulations to increase safety performance, and further commending the Commission for organizing special events in May 2013 in the framework of the second United Nations Global Road Safety Week, as well as for servicing 57 legal instruments that provide a commonly accepted legal and technical framework for the development of international road, rail, inland water and combined transport, Acknowledging the important interregional efforts of the Economic Commission for Europe and the Economic and Social Commission for Asia and the Pacific in organizing the Europe-Asia Road Safety Forum to promote the implementation of United Nations road safety conventions and to facilitate the exchange of experiences in this field among European and Asian countries, Commending the road safety initiatives of the Economic and Social Commission for Asia and the Pacific, including the organization of the regional Expert Group Meeting on Progress in Road Safety Improvement in Asia and the Pacific, which adopted a joint statement during the second United Nations Global Road Safety Week, held in Seoul from 6 to 12 May 2013, and the technical assistance provided to member countries to develop and refine national road safety goals, targets and indicators in support of the Decade of Action, Commending also the efforts of the Economic Commission for Africa in strengthening the road safety initiative in Africa, including the adoption of the African Action Plan for the Decade of Action for Road Safety as a guiding document that addressed the continent’s specificities and targeted a reduction in road traffic crashes by 50 per cent by 2020, Commending further the efforts of the Economic Commission for Latin America and the Caribbean to advocate and improve road safety in the Latin American and Caribbean region through studies and the dissemination of best practices among national Governments, the private sector, academia and multilateral regional institutions and to include road safety in comprehensive and regionally coordinated transport policies, including the efforts to establish the Mesoamerican Road Safety Plan, strengthening the capacity of the road safety agency of Chile by enhancing its road safety data collection system as a tool for designing and monitoring effective policies, Commending the efforts of the Economic and Social Commission for Western Asia on enhancing road safety in the Arab region, including the organization of regional training workshops to accelerate the implementation of the Decade of Action and related recommendations included in the conclusions of the yearly 3/7 intergovernmental meetings on transport, such as the fourteenth session of the intergovernmental Committee on Transport, Acknowledging a number of other important international efforts on road safety, including the development by the International Road Transport Union of harmonized and internationally recognized standards for the vocational training of road transport professionals, Taking note of the report of the Commission for Global Road Safety entitled Safe Roads for All: A Post-2015 Agenda for Health and Development, Acknowledging the continued efforts of the Road Safety Initiative of the multilateral development Banks, coordinated by the Global Road Safety Facility of the World Bank, and their collective actions to scale up road safety management capacity and infrastructure safety, improve safety performance measures and scale up resources through the development of systematic country projects in low- and middle-income countries, Commending Member States that have acceded to the United Nations international legal instruments on road safety and that have adopted comprehensive legislation on major risk factors, including the disregard for road signs and signals, the non-use of helmets, safety belts and child restraints, driving under the influence of alcohol and drugs, inappropriate and excessive speed and inappropriate use of cellular telephones, including texting, Recognizing Member States and civil society for their continued commitment to road safety by observing the World Day of Remembrance for Road Traffic Victims on the third Sunday of November every year, Also recognizing the efforts made by some countries to implement best practices, to set ambitious targets and to monitor road traffic fatalities and serious injuries, Taking into account the importance of strengthening capacity and continuing international cooperation to further support efforts to improve road safety, particularly in developing countries, including least developed countries and middle-income countries, and providing, as appropriate, financial and technical support and knowledge to meet the goals of the Decade of Action, Recognizing that a solution to the global road safety crisis can be achieved only through multisectoral collaboration, private and public funding mechanisms and partnerships involving the public and private sectors, as well as civil society, including national Red Cross and Red Crescent Societies, academia, professional associations, non-governmental organizations, victims’ organizations and youth organizations, as well as the media, 1. Recognizes the importance of the efficient movement of people and goods and access to environmentally sound, safe and affordable transportation as a means to improve social equity, health, the resilience of cities, urban-rural linkages and the productivity of rural areas, and in this regard takes into account road safety as part of the effort to achieve sustainable development; 2. | Commends Member States that have developed national plans that are in line with the Global Plan for the Decade of Action for Road Safety 2011-2020, and encourages Member States that have not yet developed such plans to do so, paying 4/7 special attention to the needs of all road users, in particular pedestrians, cyclists and other vulnerable road users, as well as issues related to sustainable mobility; 3. Invites Member States that have not yet done so to nominate, as appropriate, national focal points for the Decade of Action to coordinate and facilitate national activities for the Decade; 4. Also invites Member States that have not yet done so to address road safety holistically, starting with the implementation or continuation of a road safety management system, including, as appropriate, interdepartmental cooperation, the development of national road safety plans in line with the Global Plan for the Decade, improvement of the quality of road safety statistics and data disaggregated by sex and age, collected through the standardization of definitions and reporting practices, and investments in multisectoral road traffic crash surveillance and analysis; 5. Encourages Member States that have not yet done so to consider enacting comprehensive legislation on key risk factors for road traffic injuries, including the disregard for road signs and signals, the non-use of helmets, safety belts and child restraints, driving under the influence of alcohol and drugs, inappropriate and excessive speed and inappropriate use of cellular telephones, including texting, while driving, in order to increase the proportion of countries with comprehensive legislation to 50 per cent by the end of the Decade of Action, and encourages Member States to strengthen their enforcement of existing road safety legislation on the risk factors; 6. Encourages the implementation of new car assessment programmes in all regions of the world in order to improve the availability of consumer information about the safety performance of motor vehicles; 7. Invites Member States to continue to improve, where appropriate, their road management systems and to introduce both road safety audits for new construction projects and road safety assessment programmes for the existing networks; 8. Also invites Member States to develop and implement comprehensive policies on post-crash care and to consider enacting legislation to legally protect bystanders who in good faith provide care to those injured in a crash; 9. Further invites Member States to raise awareness of serious road traffic injuries, in particular brain and spinal cord injuries, and to encourage investment in scientific research aimed at effectively treating such injuries; 10. Encourages Member States to continue to improve and strengthen pre-hospital, trauma and rehabilitation care through the adoption of a national emergency medical system telephone number, capacity-building and the provision of adequate and appropriate equipment; 11. Reaffirms the importance of addressing global road safety issues through international cooperation and by strengthening collaboration between Member States and civil society to build capacity and raise awareness in the field of road safety and to continue raising awareness through the World Day of Remembrance for Road Traffic Victims on the third Sunday of November every year; 5/7 12. Also reaffirms the role and importance of the United Nations legal instruments on road safety, such as the 1949 Convention on Road Traffic,® the 1968 Convention on Road Traffic,” the 1968 Convention on Road Signs and Signals® and the 1958 and 1998 agreements of the World Forum for Harmonization of Vehicle Regulations in facilitating road safety at the global, regional and national levels, and encourages Member States that have not yet done so to consider becoming contracting parties and, beyond accession, applying, implementing and promoting their provisions or safety regulations, as well as adhering to the Convention on the Rights of Persons with Disabilities;? 13. Requests the World Health Organization and the United Nations regional commissions, in cooperation with other partners in the United Nations Road Safety Collaboration and other stakeholders, to continue the activities aimed at supporting the implementation of the objectives of the Decade of Action; 14. Also requests the World Health Organization and the United Nations regional commissions to facilitate the organization of activities during 2015 for the third United Nations Global Road Safety Week, with a focus on improving the safety of children in traffic; 15. Invites the World Health Organization to continue monitoring, through its global status reports, progress towards the attainment of the goal of the Decade of Action to stabilize and reduce road traffic deaths by 2020, and in this regard notes the importance of targets and indicators against which progress can be systematically measured; 16. Invites the Secretary-General to continue to promote effective international cooperation on road safety issues, including in the broader context of sustainable transport, and in this regard encourages further efforts, as appropriate, to strengthen the coordination of the work of the United Nations system on sustainable transport, while taking into account the need to adequately address road safety issues; 17. Reiterates its invitation to Governments to take a leading role in implementing the activities of the Decade of Action, while fostering multisectoral collaboration that includes the efforts of academia, the private sector, professional associations, non-governmental organizations, civil society, including the national Red Cross and Red Crescent Societies, victims’ organizations, youth organizations, and the media; 18. Invites Member States, international organizations, development banks and funding agencies, foundations, professional associations and private sector companies to consider providing adequate and additional funding to activities relating to the Decade of Action, including through contributions to the Road Safety Fund established by the World Health Organization and the FIA Foundation for the Automobile and Society; 19. Invites all interested relevant stakeholders to explore new and innovative funding modalities to support and collaborate in national efforts to implement the © United Nations, Treaty Series, vol. 125, No. 1671. 7 Tbid., vol. 1042, No. 15705. 8 Tbid., vol. 1091, No. 16743. 9 Tbid., vol. 2515, No. 44910. 6/7 Global Plan for the Decade of Action, particularly in developing countries, including least developed countries and middle-income countries; 20. Encourages Member States and the international community to take road safety into due consideration in the elaboration of the post-2015 development agenda, while recognizing the importance of a holistic and integrated approach to sustainable transport; 21. Welcomes the offer by the Government of Brazil to host the second high- level global conference on road safety, to be held in 2015, to bring together delegations of ministers and representatives dealing with transport, health, education, safety and related traffic law enforcement issues, to review progress in implementing the Global Plan for the Decade of Action and in meeting the goal of the Decade, and to provide an opportunity for Member States to exchange information and best practices; 22. Decides to include in the provisional agenda of its seventieth session an item entitled “Improving global road safety”, and requests the Secretary-General to report to the General Assembly at that session on the progress made in the attainment of the objectives of the Decade of Action for Road Safety. 14-28766 7/7",04/02/2014,2014_768093,Viet Nam,N/A,yes
2014,General Assembly,Commission On Human Rights,Twenty-fifth session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Algeria, Bahrain,* Belarus,* China, Cuba, Ecuador,* Egypt,* Ethiopia, India, Namibia, Russian Federation, Saudi Arabia, United Arab Emirates, Venezuela (Bolivarian Republic of), Viet Nam",N/A,25/... Mandate of the Special Rapporteur on the situation of human rights defenders,"After the fourth preambular paragraph, insert a new paragraph reading Recalling also that the primary responsibility for promoting and protecting human rights and fundamental freedoms rests with the State, and reaffirming that national legislation consistent with the Charter and other international obligations of the State in the field of human rights and fundamental freedoms is the juridical framework within which human rights defenders conduct their activities, GE. 14-12536 1412536* Please recycle es",03/26/2014,2014_768836,Viet Nam,* Non-member State of the Human Rights Council. *,yes
2014,General Assembly,Commission On Human Rights,Twenty-fifth session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Algeria, Bahrain,* Belarus,* China, Cuba, Ecuador,* Egypt,* Ethiopia, India, Russian Federation, Saudi Arabia, United Arab Emirates, Venezuela (Bolivarian Republic of), Viet Nam",N/A,25/... Mandate of the Special Rapporteur on the situation of human rights defenders,"Paragraph | should read 1. Welcomes the work and takes note of the report of the Special Rapporteur on the situation of human rights defenders, and calls upon all States to consider taking concrete steps to create, in law and in practice, a safe and enabling environment in which human rights defenders can operate free from hindrance and insecurity; GE. 14-12543 1412543 Please recycle es",03/26/2014,2014_768837,Viet Nam,* Non-member State of the Human Rights Council. * *,yes
2014,General Assembly,Commission On Human Rights,Twenty-fifth session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Algeria, Bahrain,* Belarus,* China, Cuba, Ecuador,* Egypt,* Ethiopia, India, Namibia, Russian Federation, Saudi Arabia, United Arab Emirates, Viet Nam:",N/A,25/... Mandate of the Special Rapporteur on the situation of human rights defenders,"Paragraph 6 should read 6. Encourages all concerned United Nations agencies and organizations, within their mandates, to provide all possible assistance and support to the Special Rapporteur for the effective fulfilment of his/her mandate, including in the context of country visit; GE. 14-12550 1412550 Please recycle es",03/26/2014,2014_768838,Viet Nam,* Non-member State of the Human Rights Council. * *,yes
2014,General Assembly,Commission On Human Rights,Twenty-fifth session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Angola,* Argentina, Austria, Belgium,* Bolivia (Plurinational State of),* Bosnia and Herzegovina,* Costa Rica, Céte d’Ivoire, Croatia,* Cuba, Cyprus,* Denmark,* Ecuador,* Egypt,* El Salvador,* Estonia, Finland,* France, Germany, Greece,* Honduras,* Hungary,* Ireland, Italy, Latvia,* Lithuania,* Luxembourg,* Mexico, Montenegro, Mozambique,* Netherlands,* Norway,* Panama,* Paraguay,* Peru, Portugal,* Romania, Slovakia,* Slovenia,* Spain,* State of Palestine*, Switzerland,* the former Yugoslav Republic of Macedonia, Timor-Leste,* Tunisia,* Uruguay,* Venezuela (Bolivarian Republic of), Viet Nam",N/A,"25/... Question of the realization in all countries of economic, social and cultural rights","The Human Rights Council, Guided by the principles of economic, social and cultural rights enshrined in international human rights instruments, including the Universal Declaration of Human Rights and the International Covenant on Economic, Social and Cultural Rights, Recalling that the Vienna Declaration and Programme of Action, the 2005 World Summit Outcome and General Assembly resolution 60/251 of 15 March 2006, in which the Assembly established the Human Rights Council, all affirm that all human rights are universal, indivisible, interrelated, interdependent and mutually reinforcing and must be treated in a fair and equal manner, on the same footing and with the same emphasis, and recalling also that the promotion and protection of one category of rights should never exempt States from the promotion and protection of the other rights, Recalling also the United Nations Millennium Declaration, in which the Heads of State and Government affirmed their commitment to spare no effort to promote democracy and strengthen the rule of law, as well as respect for all internationally recognized human rights and fundamental freedoms, including the right to development, GE. 14-12369 1412369% Please recycle es A/HRC/25/L.16 Recalling further its resolutions on the question of the realization in all countries of economic, social and cultural rights, and the resolutions adopted by the Commission on Human Rights on the same topic, Reaffirming the obligations and commitments to take steps, individually and through international assistance and cooperation, especially economic and technical, to the maximum of available resources, with a view to achieving progressively the full realization of economic, social and cultural rights by all appropriate means, including particularly the adoption of legislative measures, Recognizing that the entry into force of, inter alia, the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights, on 5 May 2013, is a step forward in strengthening the promotion and protection of economic, social and cultural rights worldwide, Underlining the imperative need to accelerate efforts towards the achievement of the Millennium Development Goals, and recognizing the crucial importance of giving due consideration to the realization of economic, social and cultural rights in the elaboration of the post-2015 development agenda, Underlining also the human rights principles of, inter alia, non-discrimination, human dignity, equity, equality, universality and participation, as affirmed in international human rights law and in the Vienna Declaration and Programme of Action, and emphasizing that the rights enunciated in the International Covenant on Economic, Social and Cultural Rights are to be realized in a non-discriminatory manner, 1. Calls upon all States to give full effect to economic, social and cultural rights by, inter alia, taking all appropriate measures to implement Human Rights Council resolutions on the question of the realization in all countries of economic, social and cultural rights, the most recent of which is resolution 22/5 of 21 March 2013; 2. Calls upon all States that have not yet signed and ratified the International Covenant on Economic, Social and Cultural Rights to consider doing so, and calls upon States parties to consider reviewing their reservations thereto; 3. Welcomes the entry into force of the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights on 5 May 2013 and the fact that 12 States have become parties to the Optional Protocol, as well as that 45 have signed it, and encourages all States that have not yet signed and ratified the Optional Protocol to consider doing so and also to consider making declarations under articles 10 and 11; 4. Takes note with appreciation of the report of the Secretary-General on the question of the realization in all countries of economic, social and cultural rights,’ with a special focus on access to justice relating to violations of economic, social and cultural rights, submitted pursuant to Human Rights Council resolution 22/5, and of the recommendations contained therein; 5. Underlines the importance of an effective remedy for violations of economic, social and cultural rights and, in this regard, of judicial, quasi-judicial and other appropriate remedies, accessible on an individual or, as appropriate, collective basis, and of adequate procedures to avoid infringements of such rights; 6. Encourages States to ensure that effective judicial, quasi-judicial and other appropriate remedies for violations of economic, social and cultural rights are accessible to ' A/ARC/25/31. A/HRC/25/L.16 everyone without discrimination, including such aspects as physical accessibility, affordability, access to information, equality of access and necessary legal assistance; 7. Calls upon States to ensure due process in remedies relating to economic, social and cultural rights; 8. Welcomes the steps taken at the national level to implement economic, social and cultural rights, including the enactment of appropriate legislation and adjudication by national courts; 9. Reiterates that respect for and the promotion and protection of human rights are an integral part of effective work towards achieving internationally agreed development goals, including the Millennium Development Goals, and emphasizes the central role of the United Nations in enhancing global partnerships for development with a view to creating a supportive global environment for the attainment of the Millennium Development Goals, as well as the importance of giving due consideration to equality, social protection and accountability in the context of the realization of economic, social and cultural rights in the elaboration of the post-2015 development agenda; 10. Underlines the importance of the joint United Nations Social Protection Floor Initiative for the realization of economic, social and cultural rights and, in this regard, acknowledges the adoption by the International Labour Conference of recommendation No. 202 (2012) concerning national floors of social protection; 11. Notes with interest the work carried out by the Committee on Economic, Social and Cultural Rights to assist States parties in fulfilling their obligations, including through the submission of general comments and the consideration of periodic reports; 12. Also notes with interest the work of other relevant treaty bodies and special procedures in the promotion and protection of economic, social and cultural rights within their respective mandates; 13. Encourages enhanced cooperation and, as appropriate, increased coordination between the Committee on Economic, Social and Cultural Rights and United Nations bodies, specialized agencies and programmes, mechanisms of the Human Rights Council and other human rights treaty bodies whose activities have a bearing on economic, social and cultural rights, in a manner that respects their distinctive mandates and promotes their policies, programmes and projects; 14. Recognizes and encourages the important contributions of regional organizations, national human rights institutions and civil society, including non- governmental organizations and academic and research institutions, to the question of the realization and enjoyment of economic, social and cultural rights; 15. | Welcomes the activities carried out by the Office of the United Nations High Commissioner for Human Rights on the promotion of economic, social and cultural rights, mainly through technical cooperation, the work of its field offices, its relevant reports to United Nations bodies, the development of in-house expertise, including on human rights indicators, and its publications and studies on related issues; 16. Requests the Secretary-General to continue to prepare and submit to the Human Rights Council an annual report on the question of the realization in all countries of economic, social and cultural rights under agenda item 3, with a special focus on the importance of social protection floors for the realization of economic, social and cultural rights; A/HRC/25/L.16 17. Decides to remain seized of this issue and to consider taking further action in order to implement the present resolution.",03/24/2014,2014_769807,Viet Nam,* Non-member State of the Human Rights Council. *,yes
2014,General Assembly,N/A,Sixty-eighth session,126,"Interaction between the United Nations, national parliaments and the Inter-Parliamentary Union","Albania, Australia, Austria, Belgium, Benin, Bulgaria, Burkina Faso, Cameroon, Canada, Chile, Costa Rica, Croatia, Czech Republic, Denmark, Egypt, Estonia, Finland, France, Georgia, Germany, Greece, Guatemala, Hungary, Iraq, Ireland, Italy, Jordan, Latvia, Lithuania, Luxembourg, Malta, Mexico, Mongolia, Morocco, Namibia, Netherlands, New Zealand, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, Togo, Tunisia, Turkey and Uruguay",N/A,"Interaction between the United Nations, national parliaments and the Inter-Parliamentary Union","Addendum Add the following countries to the list of sponsors of the resolution: Andorra, Angola, Argentina, Armenia, Azerbaijan, Bangladesh, China, Cyprus, El Salvador, Honduras, India, Indonesia, Israel, Japan, Kazakhstan, Kuwait, Lebanon, Liechtenstein, Montenegro, Pakistan, Palau, Panama, Peru, Philippines, Poland, Republic of Korea, Republic of Moldova, Russian Federation, San Marino, Saudi Arabia, Senegal, Serbia, Singapore, Thailand, Uganda, United Kingdom of Great Britain and Northern Ireland, United Republic of Tanzania, Viet Nam and Zimbabwe e — P) ma e 7) fe ) a S ve = Ay 14-53650 (E) _ 200514 A A A A A",05/19/2014,2014_771269,Viet Nam,N/A,yes
2014,General Assembly,N/A,Sixty-eighth session,65 (a),* Promotion and protection of the rights of children,"Austria, Botswana, Costa Rica, Germany, Israel, Jordan, Mexico, Poland, Portugal, Qatar, Slovenia, Sweden and Thailand",N/A,High-level meeting of the General Assembly on the twenty-fifth anniversary of the adoption of the Convention on the Rights of the Child,"Addendum Add the following countries to the list of sponsors of the resolution: Argentina, Australia, Azerbaijan, Bulgaria, Canada, Chile, Colombia, Croatia, Cuba, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Greece, Hungary, Iceland, India, Indonesia, Ireland, Italy, Japan, Latvia, Lebanon, Lesotho, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Nicaragua, Norway, Panama, Paraguay, Peru, Romania, San Marino, Serbia, Singapore, Slovakia, Tunisia, Turkey, United Kingdom of Great Britain and Northern Ireland, Uruguay and Viet Nam ‘tly in plenary Please recycle ee 14-53750 (E) _ 220514 NAA A A",05/20/2014,2014_771488,Viet Nam,"* In order for the General Assembly to take action on the present proposal, it will be necessary to resume consideration of sub-item (a) agenda item 65 and to consider it directly in plenary meeting.",yes
2014,Security Council,N/A,N/A,N/A,United Nations S2014/510,"Argentina, Australia, Belgium, Canada, Chad, Chile, France, Germany, Indonesia, Ireland, Italy, Jordan, Lithuania, Luxembourg, Malaysia, Netherlands, New Zealand, Nigeria, Philippines, Republic of Korea, Rwanda, Ukraine, United Kingdom of Great Britain and Northern Ireland, United States of America and Viet Nam",N/A,N/A,"The Security Council, Deploring the downing of a civilian aircraft on an international flight, Malaysia Airlines flight MH17, on 17 July in Donetsk Oblast, Ukraine, with the loss of all 298 passengers and crew on board, Reaffirming the rules of international law that prohibit acts of violence that pose a threat to the safety of international civil aviation and emphasizing the importance of holding those responsible for violations of these rules to account, Recalling its press statement of 18 July 2014, Stressing the need for a full, thorough and independent international investigation into the incident in accordance with international civil aviation guidelines, noting in this regard the crucial role played by the International Civil Aviation Organization (ICAO) in aircraft accident and incident investigations, and welcoming the decision by ICAO to send a team to work in coordination with the Ukrainian National Bureau of Incidents and Accidents Investigation of Civil Aircraft in this investigation, following a request for assistance by Ukraine to ICAO and others, Expressing serious concern that armed groups in Ukraine have impeded immediate, safe, secure and unrestricted access to the crash site and the surrounding area for the appropriate investigating authorities, the Organization for Security and Cooperation in Europe (OSCE) Special Monitoring Mission in Ukraine and representatives of other relevant international organizations assisting the investigation in accordance with ICAO and other established procedures, 1. Condemns in the strongest terms the downing of Malaysia Airlines flight MH17 on 17 July in Donetsk Oblast, Ukraine resulting in the tragic loss of 298 lives; 2. Reiterates its deepest sympathies and condolences to the families of the victims of this incident and to the people and governments of the victims’ countries of origin; mae nti Please rec eed INN . 14-57993 (E) 210714 CA YA AG A S/2014/510 3. Supports efforts to establish a full, thorough and independent international investigation into the incident in accordance with international civil aviation guidelines; 4. Recognizes the efforts under way by Ukraine, working in coordination with ICAO and other international experts and organizations, including representatives of States of Occurrence, Registry, Operator, Design and Manufacture, as well as States who have lost nationals on MH17, to institute an international investigation of the incident, and calls on all States to provide any requested assistance to civil and criminal investigations related to this incident; 5. Expresses grave concern at reports of insufficient and limited access to the crash site; 6. Demands that the armed groups in control of the crash site and the surrounding area refrain from any actions that may compromise the integrity of the crash site, including by refraining from destroying, moving, or disturbing wreckage, equipment, debris, personal belongings, or remains, and immediately provide safe, secure, full and unrestricted access to the site and surrounding area for the appropriate investigating authorities, the OSCE Special Monitoring Mission and representatives of other relevant international organizations according to ICAO and other established procedures; 7. Demands that all military activities, including by armed groups, be immediately ceased in the immediate area surrounding the crash site to allow for security and safety of the international investigation; 8. Insists on the dignified, respectful and professional treatment and recovery of the bodies of the victims, and calls upon all parties to ensure that this happens with immediate effect; 9. Calls on all States and actors in the region to cooperate fully in relation to the international investigation of the incident, including with respect to immediate and unrestricted access to the crash site as referred to in paragraph 6; 10. Welcomes in this regard the statement on 17 July 2014 by the Trilateral Contact Group of senior representatives of Ukraine, the Russian Federation and the OSCE and demands that the commitments outlined in that statement be implemented in full; 11. Demands that those responsible for this incident be held to account and that all States cooperate fully with efforts to establish accountability; 12. Urges all parties to the Convention on International Civil Aviation to observe to the fullest extent applicable, the international rules, standards and practices concerning the safety of civil aviation, in order to prevent the recurrence of such incidents, and demands that all States and other actors refrain from acts of violence directed against civilian aircraft; 13. Welcomes the full cooperation of the United Nations offered by the Secretary-General in this investigation, and requests the Secretary-General to identify possible options for United Nations support to the investigation and to report to the Security Council on relevant developments; 14. Decides to remain seized of the matter. 14-57993 2/2",07/21/2014,2014_775347,Viet Nam,N/A,yes
2014,General Assembly,Commission On Human Rights,Twenty-sixth session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Bahrain,* Brunei Darussalam,* China, Egypt,* India, Iran (Islamic Republic of),* Malaysia,* Myanmar,* Pakistan, Qatar,* Saudi Arabia, Singapore,* Sudan,* Viet Nam",N/A,26/... The question of the death penalty,Delete the thirteenth preambular paragraph. “ Non-member State of the Human Rights Council. GE. 14-06478 (E) Please recycle es,06/25/2014,2014_775669,Viet Nam,* * 140647 8,yes
