year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139166,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139167,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139168,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139169,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139170,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139171,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1982,1992_139172,Afghanistan,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,ADMISSION OF NEW MEMBERS TO THE UNITED NATIONS,"Afghanjstan, Albania, Algeria, Antigua and Barbuda, Argentina, Australia, Austria, Bahrain, Barbados, Belarus, ﬁglgium, Bgligg. Brazil, Brunei Darussalam, Bulgaria, Verd h hil hin Colombjia, Comoros, Costa ;gg, Cyprus, Czechoslovakia, Democratic Pegple's R K nmark jibouti Ecuador, E} Salvagdor, Es;gn;a, Fiji, Finland, France, Gabon, Qgs_mgn.x‘ﬁ__exsﬁ,_ﬁgm_alﬁgﬁ.m_ﬁm_u n ne _a-._B issau,. Guyana, Honduras, Hungary, JIceland, India, In Iran (Islamic Republic of), Ireland, Israel. Italy, nggigg. Japan, Jordan, Kuwait, Lao People’ § ngogrgg ic Republic, via non, Lie n in huani Luxem T WMML&W 1) Iglands, M i Mexi Mi ra Mongolia oroce N 1 Netherlands, New _gglgng, Nicaraqua, Norway, Oman, Pakistan, Panamg, in P n P 1 ublic of Kor Rowmnwm&gmh n ingapore, Spai i riname W Thailand rini and Tobago, Tunisia rk kraine i i m of Britai and Northern Ireland, United Republic of Tanzania, United States of America, Urugquay, Vanuatu, /enezuela, Viet Nam and Yugoslavia",N/A,h,"Re lic of Kyr tan to membershi in _the United Nations The_General Assembly, Having received the recommendation ¢f the Security Council of /e, Y0297 29 January 1992 that the Republic of Kyrgyzstan should be admitted to membership in the United Nations, 1/ Having considered tae application for membership of the Republic of Kyrgyzstan, 2/ Decides to admit the Republic of Kyrgyzstan to membership in the United Nations. - —— A/46/860, A/46/842-5/23450. T e e P aB T I, NGy, SIRCLCE AL B TR Kt ¢ 4T - PPN~ T, D O T R Tt i o RN SUNE SR SRR Sl SL LN/ X",02/27/1992,1992_139173,Afghanistan,"29 January 1992 that the Republic of Kyrgyzstan should be admitted to membership in the United Nations, 1/",no
1992,General Assembly,N/A,-sixth session,20,ADMISSION OF NEW MEMBERS TO THE UNITED NATIONS,Add the fol.,N/A,"Afghanistan, Bahamas, Bangladesh, Burundi, Cape Verde, Congo, Democratic People's Republic of Korea, Djibouti, Ecuador, Fiji, Guinea-Bigsau, Kuwait . Madaaacrar. Maldives. Marshall Islands, Micronesja (Federated States of), Oman, Philippines, Qatar, Sag Tome and Principe, Sgomalia, Thailand, Uruguay and Yugoslavia",- —— 30392,03/02/1992,1992_139664,Afghanistan,N/A,no
1992,Convention On The Rights Of The Child,N/A,N/A,20,'ADMISSION OF NEW MEMBERS TO THE UNITED NATIONS,"Albania, Argentina, Armenia, Australia, Austria, Azerbaijan, Bangladesh, Barbados, Belarus, Belgium, Brazil, Bulgaria, Canada, Cape Verde, Chile, China, Colombia, Costa Rica, Croatia, Cyprus, Czechoslovakia, Denmark, Djibouti, Dominican Republic, Ecuador, El Salvador, Estonia, Finland, France, Gabon, Germany, Greece, Guatemala, Guinea, Honduras, Hungary, India, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kuwait, Kyrgyzstan, Lao People's Democratic Republic, Latvia, Lebanon, Lesotho, Liechtenstein, Luxembourg, Madagascar, Malaysia, Maldives, Malta, Marshall Islands, Mauritius, Mexico, Mongolia, Morocco, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Pakistan, Paraguay, Philippines, Poland, Portugal, Republic ' of Korea, Republic of Moldova, Romania, Russian Federation, San Marino, Sao Tome and Principe, Spain, Suriname weden Thailand, Trinidad and Tobago, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland, United . States of America, Uruguay, Venezuela, Viet Nam, Yemen, ‘ Yugoslavia and Zimbabwe",N/A,Admission of the Republic of Georgia to membership,"o in the United Nations Addendum Add the following countries to the list of sponsors of the resolution Afghanistan, Angola, Bahamas, Congo, Mali, Oman, Panama, Saint Vincent and the Grenadines; Saudi Arabia, Slovenia and Sri Lanka General Assembly Distr. LIMITED A/46/L.75/7A44.1 31 July 1992 ENGLISH ORIGINAL: iy / B LS8 FURLE AR T U R BV SN R ADMISSION OF NEW MEMBERS TO THE UNITED NATIONS L Albania, Argentina, Armenia, Australia, Austria, Azerbaijan, Bangladesh, Barbados, Belarus, Belgium, Brazil, Bulgaria, Canada, Cape Verde, Chile, China, Colombia, Costa Rica, Croatia, Cyprus, Czechoslovakia, Denmark, Djibouti, Dominican Republic, Ecuador, El Salvador, Estonia, Finland, France, Gabon, Germany, Greece, Guatemala, Guinea, Honduras, Hungary, India, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kuwait, Kyrgyzstan, Lao People's Democratic Republic, Latvia, Lebanon, Lesotho, Liechtenstein, Luxembourg, Madagascar, Malaysia, Maldives, Malta, Marshall Islands, Mauritius, Mexico, Mongolia, Morocco, Nepal Netherlands, New Zealand, Nicaragua, Nigeria, Norway, Pakistan, Paraguay, Philippines, Poland, Portugal, Republic ' of Korea, Republic of Moldova, Romania, Russian Federation, San Marino, Sao Tome and Principe, Spain, Suriname weden Thailand, Trinidad and Tobago, Turkey, Ukraine, United Kingdom of Great Britain and Northern Ireland, United . States of America, Uruguay, Venezuela, Viet Nam, Yemen, ‘ Yugoslavia and Zimbabwe resolution dm1531on of the Republic of Georgia to membership in the United Nations sponsors of the Cman, Panama, Saint Vincent and Sri Lanka Addendum Add the following countries to the list of| sponsors of the resolution 3olucion and the Grenadines; Saudi Arabia, Slovenial and Sri Lanka - 310792 0208592",07/31/1992,1992_147706,Afghanistan,N/A,no
