year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139166,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139167,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139168,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139169,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139170,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139171,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1982,1992_139172,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,ADMISSION OF NEW MEMBERS TO THE UNITED NATIONS,"Afghanjstan, Albania, Algeria, Antigua and Barbuda, Argentina, Australia, Austria, Bahrain, Barbados, Belarus, ﬁglgium, Bgligg. Brazil, Brunei Darussalam, Bulgaria, Verd h hil hin Colombjia, Comoros, Costa ;gg, Cyprus, Czechoslovakia, Democratic Pegple's R K nmark jibouti Ecuador, E} Salvagdor, Es;gn;a, Fiji, Finland, France, Gabon, Qgs_mgn.x‘ﬁ__exsﬁ,_ﬁgm_alﬁgﬁ.m_ﬁm_u n ne _a-._B issau,. Guyana, Honduras, Hungary, JIceland, India, In Iran (Islamic Republic of), Ireland, Israel. Italy, nggigg. Japan, Jordan, Kuwait, Lao People’ § ngogrgg ic Republic, via non, Lie n in huani Luxem T WMML&W 1) Iglands, M i Mexi Mi ra Mongolia oroce N 1 Netherlands, New _gglgng, Nicaraqua, Norway, Oman, Pakistan, Panamg, in P n P 1 ublic of Kor Rowmnwm&gmh n ingapore, Spai i riname W Thailand rini and Tobago, Tunisia rk kraine i i m of Britai and Northern Ireland, United Republic of Tanzania, United States of America, Urugquay, Vanuatu, /enezuela, Viet Nam and Yugoslavia",N/A,h,"Re lic of Kyr tan to membershi in _the United Nations The_General Assembly, Having received the recommendation ¢f the Security Council of /e, Y0297 29 January 1992 that the Republic of Kyrgyzstan should be admitted to membership in the United Nations, 1/ Having considered tae application for membership of the Republic of Kyrgyzstan, 2/ Decides to admit the Republic of Kyrgyzstan to membership in the United Nations. - —— A/46/860, A/46/842-5/23450. T e e P aB T I, NGy, SIRCLCE AL B TR Kt ¢ 4T - PPN~ T, D O T R Tt i o RN SUNE SR SRR Sl SL LN/ X",02/27/1992,1992_139173,Albania,"29 January 1992 that the Republic of Kyrgyzstan should be admitted to membership in the United Nations, 1/",no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,02/27/1992,1992_139275,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,05/21/1992,1992_144212,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,05/20/1992,1992_144453,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,05/21/1992,1992_144455,Albania,N/A,no
1992,General Assembly,N/A,Forty-sixth session,20,N/A,N/A,N/A,N/A,N / A,07/29/1992,1992_147682,Albania,N/A,no
1992,General Assembly,Commission On Human Rights,Forty-sixth session,150,N/A,N/A,N/A,N/A,N / A,08/24/1992,1992_149377,Albania,N/A,no
1992,General Assembly,N/A,Forty-seventh session,8,ADOPTION OF THE AGENDA AND ORGANIZATION OF WORK| S—,"Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Morocco, Netherlands, Portugal, Spain and the United Kingdom of Great Britain and Northern Ireland.",N/A,Recommendation of the Security Council of 19 September 1992,"Addendum L Add the following countries to the list of sponsors of the resolution E—————————————————————... .. Afghanistan, Albania, Australia, Austria, Bahrain, Bangladesh, Bosnia and Herzeqgovina, Canada, Comoros, Croatia, Eqypt, Finland, Iceland, Iran (Islamic Republic of), Jordan, Liechtenstein, Malaysia, Malta, Mauritania, New Zealand, Norway, Oman, Pakistan, QOatar, Saudi Arabia, Senegal, Slovenia, Sweden, Tunisia, Turkey, United Arab Emirates and United States of America gt ik R T 220992",09/22/1992,1992_150785,Albania,N/A,no
