0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
"UNITED
NATIONS",Convention on the,CRC/S,CRC,Distr.,Rights of the Child LIMITED,P/1999/L.1,11 February 1998,ORIGI,NAL: ENGLISH,T,"MEETING OF STATES PARTIT]
Seventh Meeting
New York, 16 February 1999","=3
n","Afghanistan, Albania, Andorra, Antigua and Barbuda, Argentina,
Azerbaijan, Bahamas, Bangladesh, Barbados, Belarus, Belize,","Benin, Bhutan, Bosnia and Herzegovina, Bulgaria, Burundi,","Cambodia, Cameroon, Cape Verde, China, Colombia, Costa Rica,
Croatia, Democratic Republic of the Congo, Dijibouti, Dominica,","Ecuador, El Salvador, Estonia, Fiji, Gabon, Gambia, Georgia,","Ghana, Greece, Grenada, Guatemala, Haiti, Honduras, Iceland,
India, Indonesia, Iran (Islamic Republic of), Italy, Japan,
Jordan, Kazakhstan, Kenvya, Kyrgyzstan, Latvia, Lebanon, Lesotho,
Liberia, Lithuania, Madagascar, Malaysia, Mali, Malta, Marshall
Islands, Mauritania, Micronesia (Federated States of), Monaco,
Mongolia, Mozambique, Myanmar, Nicaragua, Nigeria, Pakistan,
Palau, Papua New Guinea, Paraquay, Peru, Philippines, Portugal,
Qatar, Romania, Saint Kitts and Nevis, Saint Lucia, Saint Vincent","and the Grenadines, San Marino, Sao Tome and Principe, Singapore,
Solomon Islands, Spain, Sri Lanka, Sudan, Suriname, Switzerland,
Tajikistan, the former Yugoslav Republic of Macedonia, Togo,","Turkey, Turkmenistan, Ukraine, United Republic of Tanzania,
Uzbekistan, Vanuatu, Viet Nam and Zimbabwe",,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS",Council,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 11 (c)",Economic and Social,Distr,"LIMITED
E/CN.4/1999/L.52
20 April 1999
Origina ENGLISH",CIVIL AND POLITICAL RIGHTS,FR,"T,",.EDOM OF EXPRESSION,"Afghanistan*, Albania*, Argentina, Australia*, Austria,
Bangladesh, Belarus*, Belgium*, Botswana, Brazil*,
Bulgaria*, Canada, Cape Verde, Chile, Cbte d'Ivoire*,
Cyprus*, Czech Republic, Denmark*, Dominican Republic*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E","Economic and Social DiStr;
Council","E/CN.4/1999/L.101
23 April 1999",Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 20",RATIONALIZATION OF THE WORK OF TH,"T,",3|,COMMISSION,"Afghanistan*, Argentina, Australia*, Austria, Belgium*,
Botswana, Brazil*, Bulgaria*, Canada, Cape Verde, Chile,
Colombia, Costa Rica*, Croatia*, Czech Republic, Denmark*,
Dominican Republic*, Fcuador, El1 Salvador, Estonia*, Finland*,
France, Germany, Greece*, Guatemala, Hungarvy*, Ireland, Italy,
Japan, Latvia, Liechtenstein*, Lithuania*, Luxembourg, Mozambigque,
Netherlands*, New Zealand*, Nicaragua*, Norway, Paraquay*, Poland,
Portugal*, Romania, Slovakia*, Slovenia*, South Africa, Spain*,
Sweden*, Switzerland*, United Kingdom of Great Britain and
Northern Ireland, United States of America, Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social,COUI‘]CI| E/CN.4/1999/L.25/Rev.1,22 April 1999,"ENGLISH
Original: ARABIC","COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 9",QUESTION OF THE VIOLATION OF HUMAN RIGHTS AND FUNDAMENTAL FREEDOMS,"Afghanistan*, Algeria*, Bahrain*, Bangladesh, Cuba,
Egypt*, Jordan*, Kuwait*, ILebanon*, Libyan Arab
Jamahiriyva*, Malaysia*, Mauritania*, Morocco, Oman*,
Pakistan, Palestine*, Qatar, Saudi Arabia*, Sudan,","Syrian Arab Republic*, Tunisia, United Arab Emirates
and Yemen*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social bistr.,Council E/CN.4/1999/L.35,19 April 1999,"ENGLISH
Original: FRENCH","COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 10","ECONOMIC, SOCIAL AND CULTURAL RIGHTS","Afghanistan*, Algeria*, Angola*, Argentina, Bangladesh, Belarus*,
Belgium*, Bhutan, Brazil*, Bulgaria*, Cameroon*, Cape Verde,
Chile, Colombia, Congo, Costa Rica*, Cbéte d'Ivoire*, Cuba,
Cyprus*, Denmark*, Dominican Republic*, Ecuador, Egypt*,","El Salvador, Ethiopia*, France, Greece*, Guatemala, Honduras*,
India, Trag*, Ttaly, Luxembourqg, Madagascar, Mexico, Morocco,
Nepal, Peru, Philippines, Poland, Portugal*, Romania,","Russian Federation, Rwanda, San Marino*, Senegal, Slovakia*,
South Africa, Spain*, Sweden*, Ukraine*, Uruquay, Venezuela,",Yemen*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED,NATIONS,"Economic and Social
CounCII LIMITED","E/CN.4/1999/L.51
19 April 1999",Original: ENGLISH,COMMISSION ON HUMAN RIGHTS,"Fifty-£f
Agenda",INTEGRATION OF THE HUMAN RIGHTS OF WOMEN AND THE GENDER PERSPECTIVE,"ifth session
item 12","Afghanistan*, Albania*, Angola*, Argentina, Australia*, Austria,","Bangladesh, Belarus*, Bolivia*, Botswana, Brazil*, Bulgaria*,
Cameroon*, Canada, Cape Verde, Chile, Colombia, Costa Rica*,","The Commission on Human Rights,","Croatia*, Cyprus*, Czech Republic, Denmark*, Dominican Republic*,
E1","Ecuador, | Salvador, Ethiopia*, Finland*, Germany, Greece*,
Guatemala, Honduras*, Ireland, Ttaly, Kenya*, Latvia,
Liechtenstein*, TLithuania*, Luxembourg, Madagascar, Mexico,
ozambique, Netherlands*, New Zealand*, Nicaragua*, Nigeria,
Norway, Paragquay*, Peru, Philippines, Poland, Portugal*, Romania,
Senegal, Slovenia*, South Africa, Spain*, Sweden*, Switzerland*,","The former Yugoslav Republic of Macedonia*, Tunisia,","United Kingdom of Great Britain and Northern Ireland, Uruguay,","Venezuela, Zambia*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social bistr.,Council,"E/CN.4/1999/L.45
20 April 1999",Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 12",INTEGRATION OF THE HUMAN RIGHTS OF WOMEN AND THE GENDER PERSPECTIVE,"Afghanistan*, Albania*, Angola*, Argentina, Bangladesh,
Belgium*, Bhutan, Botswana, Cameroon*, Chile, Colombia,","Costa Rica*, Cyprus*, Czech Republic, Dominican Republic*,
Egypt*, E1 Salvador, FEquatorial Guinea*, FEthiopia*,
Germany, Ghana*, Greece*, Guatemala, Haiti*, Indonesia,
Ttaly, Madagascar, Mexico, Mozambigque, Morocco, Norway,","Peru, Phi ppines, Portugal*, South Africa, Spain*,
Sri TLanka, Sweden*, Thailand*, The former Yugoslav Republic","of Macedonia*, Togo*, Ukraine*, Uruquay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social,Council E/CN.4/1999/L.78,22 April 1999,Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 18",EFFECTIVE FUNCTIONING OF HUMAN RIGHTS MECHANISMS,"Afghanistan*, Algeria*, Angola*, Bangladesh, Botswana, Burundi*,
Cape Verde, China, Colombia, Congo, Cuba, Democratic Republic of
the Congo, Democratic People's Republic of Korea*, Dominican
Republic*, FEcuador, Egypt*, El Salvador, Equatorial Guinea*,
Eritrea*, Ethiopia*, Gabon*, Guatemala, Haiti*, Honduras*, India,
Indonesia, Iran*, Irag*, Lebanon*, TLibyan Arab Jamahirivya*,
adagascar, Mauritania*, Mexico, Mozambique, Myanmar*, Nigeria*,
Pakistan, Peru, Philippines, Saudi Arabia*, Senegal, Sri Lanka,
Sudan, Syrian Arab Republic*, Togo*, Uganda*, Viet Nam*, Yemen*,
Zambia*, Zimbabwe*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS",Economic and Social,Council,Distr,"LIMITED
E/CN.4/1999/L.25%
19 April 1999
ENGLISH",Original: ARABIC,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session",Agenda,QU1,item 9,ESTION OF THE,VIOLATION OF HUMAN RIGHTS AND FUNDAMENTAL,FRE,EDOMS,"Afghanistan**, Algeria**, Bahrain**, Bangladesh, Cuba,",Pakis,* Kk,can,Palesti,ne**,"Egypt**, Jordan**, Kuwait**, Tebanon**, ILibyan Arab","Syrian Arab Republic**, Tunisia, United Arab Emirates",1999/..,and Yemen**,,,,,,,,,,,,,,,,,,,,,,,
"UNITED
NATIONS E",Economic and Social bistr.,Council,"E/CN.4/1999/L.75
22 April 1999",Original: ENGLISH,"COMMISSION ON HUMAN RIGHTS
Fifty-fifth session
Agenda item 18",EFFECTIVE FUNCTIONING OF HUMAN RIGHTS MECHANISMS,"Afghanistan*, Australia*, Bangladesh, Bhutan, China,
Cyprus*, India, Indonesia, Iran (Islamic Republic of)*,
Japan, Malaysia*, Nepal, New Zealand*, Philippines,",: n,"Republic of Korea, Sri Lanka, Thailand*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
